County,cve,outbreak,enrollment,population,PHR,pct_hispanic,pct_black,pct_white,pct_poverty,pct_uninsured,pct_college,median_income,pct_foreign_born
Donley,4.21,0,496,3172,1,12.6,5.2,84.2,2.5,17.9,16.6,NA,0
Duval,0.57,0,2346,9963,11,81.6,0.7,55.4,17.9,22.2,6.8,NA,0.1
Eastland,3.99,2,2515,18223,2,17.3,2.2,80.8,10.5,15.3,21.8,NA,0.6
Ector,1.6,12,35221,175677,9,63.5,4.5,48.1,14,22.1,17.6,NA,1.8
Edwards,2.35,0,440,1421,8,43,2.1,74.4,27.5,19.2,26.1,NA,0.2
El Paso,0.73,59,160313,235760,10,82.7,3.4,29.6,16.3,21.6,25.9,NA,2.1
Ellis,3.71,0,45703,879329,3,28.2,14.5,59.6,5.3,15,30.1,NA,0.9
Erath,3.74,1,13913,43427,3,22.3,1.9,79.3,10.1,15.2,32.1,NA,1.3
Falls,1.19,0,2358,17855,7,25,18.7,57.9,9.3,16.9,19.5,NA,0.7
Fannin,4.12,4,5523,39397,3,13.1,5.9,81.2,9.1,14.3,19.5,NA,0.7
Fayette,2.05,0,3755,25486,7,22.1,5.8,76,5.3,9.9,27.5,NA,0.6
Fisher,2.23,0,570,3736,2,28,3.4,75.6,12.3,11.7,17.1,NA,0.7
Floyd,1.64,0,1062,4970,1,58.1,2.4,62.5,16.7,23.3,14.9,NA,0.7
Foard,1.55,0,189,1025,2,11.9,0.3,83.7,0,19.1,20.6,NA,0
Fort Bend,1.28,0,133591,971689,6,24.7,20.8,33.6,6.5,11.7,50.2,NA,1.9
Franklin,3.28,0,1608,11231,4,14.7,5.4,77.7,8.2,15,27.8,NA,0.6
Freestone,1.82,0,3520,20554,7,17.2,14.5,65.7,9.8,12.6,16.5,NA,0.7
Frio,0.4,0,2794,19614,8,77.8,5.1,33,15.6,15.1,11.9,NA,0.8
Gaines,14.54,414,3764,23167,1,40.3,2.1,70.2,4.5,36.7,11.7,NA,1.4
Galveston,2.97,0,80828,368857,6,26.4,12.3,60.3,9,13.6,34.8,NA,1.7
Garza,2.71,2,818,5376,1,49.5,10.1,48.7,5.2,18,10.2,NA,0.2
Gillespie,7.04,0,3641,28875,8,22.9,0.3,81.9,6.5,13.9,37.2,NA,0.9
Glasscock,2.55,0,293,1154,9,27,0,70.8,6.8,25.1,29.2,NA,2.1
Goliad,1.51,0,1244,7399,8,32.3,5.3,73.4,11.5,13.4,21.4,NA,0.6
Gonzales,1.27,0,3875,20311,8,51.1,6.5,53.8,14.9,18,11.9,NA,1
Gray,1.64,0,3545,20887,1,31.4,4.6,77.1,12.5,17.7,16.2,NA,0.4
Grayson,3.04,0,25810,152665,3,16.3,5.2,76.3,8.2,15.7,23.9,NA,0.9
Gregg,2.72,0,22913,127815,4,20.2,18,57.6,12.1,16.5,22.9,NA,1.1
Grimes,3.03,0,4971,33510,7,25.5,11.4,61.2,10,18.3,19.7,NA,0.8
Guadalupe,2.26,0,26648,196392,8,39,7.9,55.1,7.1,11,31.4,NA,2.9
Hale,1.3,5,5789,31802,1,61.3,4.6,52.6,15.9,21,15.3,NA,0.7
Hall,4.79,0,525,2670,1,35.5,4.1,60.2,12.6,15.6,21.4,NA,0
Hamilton,5.21,0,1450,9071,7,14.2,2,84.2,14.2,13.5,26.8,NA,0.3
Hansford,1.56,0,1229,4977,1,50.2,0.1,64.9,8.2,21.3,36.4,NA,1.2
Hardeman,0.79,1,623,3367,2,25.6,3.4,73.6,5.1,15.6,16.8,NA,0.7
Hardin,3.96,0,11144,59494,5,6.8,5.7,83.9,10,15.9,21,NA,0.7
Harris,1.76,0,879002,5003892,6,44,19,34.4,13.1,20.9,34.2,NA,1.8
Harrison,2.34,0,31964,71364,4,14.8,20.3,62.4,11.3,14.1,22.7,NA,0.7
Hartley,1.75,0,357,4916,1,31.2,6,69.6,10,16.5,20.7,NA,0.6
Haskell,2.45,0,793,5445,2,26.4,5.9,76.6,12.2,16.2,22.8,NA,1.2
Hays,3.08,0,44919,294840,7,39.4,4.1,60.5,6.1,11.6,43.2,NA,1.8
Hemphill,3.03,0,758,3210,1,32.6,3.6,78.9,1.6,18.4,21.9,NA,0.9
Henderson,3.94,0,10190,88009,4,14.8,5.1,77.6,10.8,16.7,20.7,NA,0.7
Hidalgo,0.79,0,264624,928384,11,91.9,0.7,27.8,23.3,28.2,20.6,NA,1.2
Hill,3.01,0,6430,39598,7,23.1,5.6,75,10.8,18.6,18,NA,1.1
Hockley,2.9,7,4584,21620,1,50.2,3.4,57.2,11,19.1,18.9,NA,0.8
Hood,5.54,0,9371,70130,3,13.8,1.1,84.6,6.1,14.2,32.9,NA,1
Hopkins,3.01,0,6713,39012,4,18.7,7,79.7,8.9,18.7,21.9,NA,0.5
Houston,2.96,0,3038,21771,5,14.5,20.9,61.3,9.2,11.5,14.8,NA,0.4
Howard,1.83,0,5155,33949,9,47.7,5.1,64.1,10.6,13.6,15.7,NA,0.7
Hudspeth,0.91,0,566,3792,10,66.7,1.5,32.1,13.7,31.4,9.6,NA,1.3
Hunt,3.29,0,17062,118261,3,21.5,8,70.3,9,17,22.6,NA,1.6
