Sheet,1,2,3,4,5,6,7,8,9,10,11,PHR1_pct_diff,PHR2_pct_diff,PHR3_pct_diff,PHR4_pct_diff,PHR5_pct_diff,PHR6_pct_diff,PHR7_pct_diff,PHR8_pct_diff,PHR9_pct_diff,PHR10_pct_diff,PHR11_pct_diff
Fair or Poor Health - Good or Better Health,75.2,72.6,79.9,79.0,76.4,81.8,81.7,77.1,73.7,74.7,71.3,-4.2038,-1.0899,-1.2361,2.8646,2.2758,3.5443,,-5.5147,-4.5337,0.8097,-1.3831
Flu Shot in Past Year - No,66.4,62.6,61.5,74.6,74.4,63.8,58.7,62.0,75.5,58.9,68.0,0.7587,6.644,7.7058,25.3782,24.207,-0.6231,0.5137,1.3072,0.8011,-10.8926,-0.5848
Flu Shot in Past Year - Yes,33.6,37.4,38.5,25.4,25.6,36.2,41.3,38.0,24.5,41.1,32.0,-1.4663,-9.4431,-10.2564,-37.284,-36.1596,1.1173,-0.7212,-2.0619,-2.3904,21.2389,1.2658
"Flu Shot, 18-64 - No",71.5,67.6,66.9,82.1,83.3,67.7,64.3,67.1,79.1,68.1,73.1,-3.1165,7.6433,10.0329,22.9042,32.4324,-0.7331,1.7405,1.6667,4.7682,-1.8732,-2.7926
"Flu Shot, 18-64 - Yes",28.5,32.4,33.1,17.9,16.7,32.3,35.7,32.9,20.9,31.9,26.9,8.7786,-12.9032,-15.5612,-46.0843,-54.9865,1.5723,-2.9891,-3.2353,-14.6939,4.2484,8.4677
"Flu Shot, 65+ - No",46.9,50.9,36.5,56.8,45.8,47.6,35.0,41.3,54.4,33.9,44.0,57.3826,9.6983,-2.6667,65.1163,-10.3718,10.4408,8.6957,5.3571,,-30.6748,16.4021
"Flu Shot, 65+ - Yes",53.1,49.1,63.5,43.2,54.2,52.4,65.0,58.7,45.6,66.1,56.0,-24.359,-8.3955,1.6,-34.1463,10.8384,-7.9086,-4.1298,-3.4539,,29.3542,-9.9678
"Flu Vaccine Location - Canada
Mexico",.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,
"Flu Vaccine Location - Clinic
Health center",R,R,6.7,R,R,7.2,8.5,7.8,R,12.8,R,,,-34.9515,,,-47.8261,-15.8416,-37.0968,,-16.3399,
"Flu Vaccine Location - Doctor's office
HMO",33.3,22.4,26.0,25.1,24.9,22.0,27.2,22.3,34.2,28.5,37.6,5.3797,,,,,,,-26.4026,,,11.2426
Flu Vaccine Location - Emergency room,0.0,R,R,0.0,0.0,R,0.0,0.0,0.0,0.0,0.0,,,,,,,-100.0,-100.0,,,
Flu Vaccine Location - Health department,R,R,R,0.0,R,R,R,R,0.0,R,R,,,,,,,,,,,
Flu Vaccine Location - Hospital,R,R,6.6,R,R,R,7.1,R,R,R,R,,,43.4783,,,,14.5161,,,,
Flu Vaccine Location - Other,R,R,2.4,0.0,R,R,R,R,R,R,R,,,20.0,-100.0,,,,,,,
Flu Vaccine Location - School,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,
"Flu Vaccine Location - Senior
Recreation
Community center",R,R,R,0.0,R,R,R,R,R,R,0.0,,,,,,,,,,,-100.0
Flu Vaccine Location - Store,27.5,38.4,49.9,53.1,46.3,49.8,45.8,50.7,23.5,41.6,37.9,20.0873,36.1702,72.6644,126.9231,102.1834,76.5957,58.4775,71.8644,,127.3224,16.6154
Flu Vaccine Location - Workplace,R,4.1,5.7,R,R,R,5.8,6.5,R,R,R,,-54.9451,-62.2517,,,,-65.6805,-54.5455,,,
Frequency of Smoking - Every day,24.4,18.7,15.8,23.5,22.4,23.3,20.6,15.6,30.5,17.9,12.9,-13.4752,-18.3406,-44.3662,-34.903,-32.1212,3.0973,0.0,-21.608,-2.2436,7.8313,-36.4532
Frequency of Smoking - Not at all,66.5,69.5,75.2,61.5,58.5,65.6,71.6,75.5,60.1,62.1,65.9,18.5383,8.9342,25.1248,23.494,15.1575,9.8827,13.6508,24.1776,14.4762,-0.321,12.0748
Frequency of Smoking - Some days,9.0,R,9.0,R,R,11.1,7.8,8.9,9.4,20.0,21.2,-42.6752,,-21.7391,,,-37.2881,-52.1472,-53.886,-42.3313,-5.2133,0.9524
General Health - Excellent,11.1,7.4,16.2,17.9,16.0,17.3,16.0,16.5,15.8,12.8,12.3,-35.0877,-44.3609,-1.2195,17.7632,10.3448,-11.7347,-22.7053,-4.6243,1.9355,19.6262,-19.0789
General Health - Fair,20.2,18.0,15.9,13.7,14.5,14.0,14.7,18.3,18.9,20.9,21.3,31.1688,1.1236,10.4167,-17.9641,-20.3297,-11.3924,28.9474,34.5588,41.0448,3.4653,10.3627
General Health - Good,35.0,34.1,36.1,30.9,33.1,37.2,34.7,33.9,30.4,35.1,31.1,-13.3663,18.8153,12.8125,-9.1176,-10.7817,7.8261,9.1195,-14.1772,-19.7889,-13.5468,-14.0884
General Health - Poor,R,R,4.2,7.3,R,4.2,3.7,4.6,R,4.5,7.4,,,-10.6383,12.3077,,-20.7547,-19.5652,-6.1224,,-21.0526,-11.9048
General Health - Very Good,29.2,31.1,27.6,30.2,27.3,27.3,30.9,26.7,27.5,26.8,27.9,39.7129,-0.9554,-15.0769,9.4203,17.6724,9.6386,-1.9048,8.0972,15.5462,17.5439,33.4928
Given Up Day-to-Day Activiti - Always,35.8,27.7,38.6,N,58.6,R,33.6,47.0,N,N,N,,,,,,,,,,,
Given Up Day-to-Day Activiti - Never,0.0,0.0,0.0,N,0.0,0.0,0.0,0.0,N,N,N,,,,,,,,,,,
Given Up Day-to-Day Activiti - Rarely,0.0,0.0,0.0,N,0.0,0.0,0.0,0.0,N,N,N,,,,,,,,,,,
Given Up Day-to-Day Activiti - Sometimes,0.0,0.0,0.0,N,0.0,0.0,0.0,0.0,N,N,N,,,,,,,,,,,
Given Up Day-to-Day Activiti - Usually,64.2,72.3,61.4,N,41.4,74.2,66.4,53.0,N,N,N,,,,,,,,,,,
HIV Risk Behavior - No,96.1,94.2,94.2,97.1,93.2,92.9,92.7,93.7,92.5,91.4,95.3,,,,,,,,,,,
HIV Risk Behavior - Yes,3.9,R,5.8,R,R,7.1,7.3,6.3,7.5,8.6,4.7,,,,,,,,,,,
HIV-AIDS Test - No,63.5,62.0,58.7,62.4,55.7,51.2,60.4,59.1,54.2,60.7,60.4,,,,,,,,,,,
HIV-AIDS Test - Yes,36.5,38.0,41.3,37.6,44.3,48.8,39.6,40.9,45.8,39.3,39.6,,,,,,,,,,,
HPV Test Past 5 Yrs 21-65 - No,56.0,46.4,60.2,N,61.8,56.1,58.5,60.3,57.7,66.8,61.4,,,,,,,,,,,
HPV Test Past 5 Yrs 21-65 - Yes,44.0,53.6,39.8,N,38.2,43.9,41.5,39.7,42.3,33.2,38.6,,,,,,,,,,,
HPV Test Past 5 Yrs 21-65 IA - No,56.1,46.2,60.4,N,62.3,56.2,58.8,60.2,57.7,69.5,61.4,,,,,,,,,,,
HPV Test Past 5 Yrs 21-65 IA - Yes,43.9,53.8,39.6,N,37.7,43.8,41.2,39.8,42.3,30.5,38.6,,,,,,,,,,,
Have At Least One Personal D - No,23.7,13.8,20.3,17.2,24.4,28.8,19.0,20.2,26.4,24.4,29.8,-24.2812,,,,,,-26.3566,-38.0368,,,-14.8571
Have At Least One Personal D - Yes,76.3,86.2,79.7,82.8,75.6,71.2,81.0,79.8,73.6,75.6,70.2,11.0626,,,,,,9.1644,18.3976,,,8.0
Health Care Coverage - No,14.6,8.6,13.7,16.5,16.8,17.7,9.8,11.6,14.7,15.4,23.8,-35.3982,-57.0,-38.2883,-23.9631,-47.3354,-35.6364,-43.3526,-52.2634,-42.126,-51.1111,-34.2541
Health Care Coverage - Yes,85.4,91.4,86.3,83.5,83.2,82.3,90.2,88.4,85.3,84.6,76.2,10.3359,14.25,10.9254,6.6411,22.1733,13.5172,9.0689,16.7768,14.3432,23.5036,19.4357
Health Care Coverage Age 18- - No,18.4,12.4,16.9,23.0,20.4,21.6,11.4,14.5,17.2,20.1,28.5,-32.1033,-54.7445,-35.4962,-16.9675,-50.8434,-33.3333,-43.2836,-50.3425,-41.2969,-45.5285,-32.9412
Health Care Coverage Age 18- - Yes,81.6,87.6,83.1,77.0,79.6,78.4,88.6,85.5,82.8,79.9,71.5,11.9342,20.6612,12.6016,6.5007,36.0684,15.9763,10.8886,20.7627,17.1146,26.6244,24.3478
Health Care Provider - More than one,25.9,31.7,33.9,31.8,24.2,29.8,36.5,33.6,25.2,24.7,22.6,197.7011,,,,,,257.8431,239.3939,,,209.589
Health Care Provider - No,23.7,13.8,20.3,17.2,24.4,28.8,19.0,20.2,26.4,24.4,29.8,-24.2812,,,,,,-26.3566,-38.0368,,,-14.8571
"Health Care Provider - Yes, only one",50.3,54.6,45.8,51.0,51.4,41.4,44.5,46.1,48.4,50.9,47.6,-16.1667,,,,,,,-19.8261,,,-17.5043
Heart Attack - No,95.1,93.0,96.6,90.1,94.2,97.2,96.4,96.3,95.4,95.9,94.3,-1.5528,-0.9585,0.2075,-6.048,-1.875,1.3556,-0.1036,0.8377,-0.5214,0.209,-1.9751
Heart Attack - Yes,4.9,7.0,3.4,9.9,R,2.8,3.6,3.7,R,4.1,5.7,44.1176,14.7541,-5.5556,141.4634,,-31.7073,2.8571,-17.7778,,-4.6512,50.0
Heart Disease - No,91.7,90.6,94.2,87.2,92.0,95.6,94.6,94.6,94.1,94.6,92.8,-2.5505,5.4715,-0.2119,-6.3373,0.8772,1.3786,0.1058,1.0684,0.5342,1.3934,-0.8547
Heart Disease - Yes,8.3,9.4,5.8,12.8,8.0,4.4,5.4,5.4,R,5.4,7.2,40.678,-33.3333,3.5714,85.5072,-9.0909,-22.807,-1.8182,-15.625,,-19.403,12.5
Heated TBCO Products - No,93.4,90.2,87.2,83.0,89.7,88.9,88.5,88.8,92.8,86.8,88.7,,,,,,,,,,,
Heated TBCO Products - Yes,6.6,9.8,12.8,17.0,10.3,11.1,11.5,11.2,7.2,13.2,11.3,,,,,,,,,,,
Heavy Drinking - Females - No,97.8,97.9,93.2,94.6,97.4,95.5,92.8,92.3,93.1,98.6,96.8,2.8391,-0.2039,-3.0177,-2.9744,0.2058,-0.209,-1.3815,-2.017,-0.2144,4.5599,-0.1032
Heavy Drinking - Females - Yes,R,R,6.8,R,R,R,7.2,7.7,R,R,R,,,74.359,,,,22.0339,32.7586,,,
Heavy Drinking - Males - No,93.7,95.4,95.2,95.3,89.1,89.4,92.7,89.7,94.9,93.9,97.8,-1.5756,-3.3435,2.9189,1.9251,0.225,-6.0924,-0.2153,-1.3201,13.9256,4.102,5.8442
Heavy Drinking - Males - Yes,6.3,4.6,4.8,R,R,10.6,7.3,10.3,R,6.1,R,31.25,253.8462,-36.0,,,120.8333,2.8169,13.1868,,-37.7551,
Heavy Drinking - No,95.9,96.7,94.2,94.9,93.1,92.5,92.8,91.0,94.1,96.1,97.3,0.7353,-1.7276,-0.2119,-0.7322,-0.1073,-3.1414,-0.7487,-1.7279,5.6117,4.0043,2.529
Heavy Drinking - Yes,4.1,3.3,5.8,R,R,7.5,7.2,9.0,5.9,3.9,R,-14.5833,106.25,3.5714,,,66.6667,10.7692,21.6216,-45.8716,-48.6842,
Hlth Affected Activ 14+ Days - 14 or more days,11.1,11.2,8.9,10.8,13.3,8.9,8.8,10.9,9.8,12.7,12.2,54.1667,40.0,56.1404,10.2041,62.1951,67.9245,35.3846,67.6923,-25.7576,60.7595,0.8264
Hlth Affected Activ 14+ Days - None to less than 14 days,88.9,88.8,91.1,89.2,86.7,91.1,91.2,89.1,90.2,87.3,87.8,-4.2026,-3.4783,-3.3934,-1.1086,-5.5556,-3.8015,-2.4599,-4.7059,3.9171,-5.2117,-0.1138
Hlth Affected Activ 5+ Days - 5 or more days,19.0,20.6,17.4,19.8,24.9,14.8,19.1,22.1,16.3,22.4,21.6,58.3333,47.1429,72.2772,55.9055,80.4348,54.1667,70.5357,100.9091,2.5157,42.6752,28.5714
Hlth Affected Activ 5+ Days - None to less than 5 days,81.0,79.4,82.6,80.2,75.1,85.2,80.9,77.9,83.7,77.6,78.4,-7.9545,-7.6744,-8.1201,-8.1329,-12.877,-5.7522,-8.8964,-12.4719,-0.4756,-7.9478,-5.7692
Home BP Check - No,21.6,9.5,17.9,R,17.9,24.1,23.2,23.1,16.4,23.3,19.3,,,,,,,,,,,
Home BP Check - Yes,78.4,90.5,82.1,84.0,82.1,75.9,76.8,76.9,83.6,76.7,80.7,,,,,,,,,,,
Hysterectomy - No,81.1,68.1,76.4,71.4,64.6,80.5,83.0,80.0,71.9,80.8,74.2,21.5892,9.4855,-3.4134,0.7052,1.5723,5.2288,6.9588,4.712,-5.3947,1.8916,-3.1332
Hysterectomy - Yes,18.9,31.9,23.6,28.6,35.4,19.5,17.0,20.0,28.1,19.2,25.8,-43.2432,-15.6085,12.9187,-1.7182,-2.7473,-17.0213,-24.1071,-15.2542,17.0833,-7.2464,10.2564
Insulin - No,72.9,62.6,70.0,N,75.2,68.9,71.9,70.9,82.0,71.7,68.8,,-17.7398,5.2632,,22.6754,-6.8919,,-4.7043,,-7.0039,17.2061
Insulin - Yes,27.1,37.4,30.0,N,R,31.1,28.1,29.1,R,28.3,31.2,,56.4854,-10.4478,,,19.6154,,13.6719,,23.5808,-24.4552
Interfere w Social Act - Always,22.6,R,35.5,N,49.6,R,18.9,37.3,N,N,N,,,,,,,,,,,
Interfere w Social Act - Never,0.0,0.0,0.0,N,0.0,0.0,0.0,0.0,N,N,N,,,,,,,,,,,
Interfere w Social Act - Rarely,0.0,0.0,0.0,N,0.0,0.0,0.0,0.0,N,N,N,,,,,,,,,,,
Interfere w Social Act - Sometimes,0.0,0.0,0.0,N,0.0,0.0,0.0,0.0,N,N,N,,,,,,,,,,,
Interfere w Social Act - Usually,77.4,72.0,64.5,N,50.4,81.4,81.1,62.7,N,N,N,,,,,,,,,,,
Kidney Disease - No,96.5,92.7,96.0,94.6,95.9,97.4,95.7,95.9,95.1,94.6,93.0,-1.5306,-4.0373,-0.8264,-1.9689,-0.6218,-0.5107,-1.0341,-0.1042,-3.4518,-2.4742,-3.6269
Kidney Disease - Yes,3.5,R,4.0,5.4,4.1,2.6,4.3,4.1,R,R,7.0,75.0,,25.0,54.2857,17.1429,23.8095,30.303,2.5,,,100.0
Last Dentist Visit - 5 or more years,17.1,20.1,10.3,25.6,15.5,12.8,12.0,11.9,16.7,12.7,11.9,1.7857,45.6522,-20.7692,52.381,-13.8889,7.563,13.2075,3.4783,-16.0804,-11.1888,-20.6667
Last Dentist Visit - Never,R,R,1.6,R,R,R,R,R,R,R,R,,,-15.7895,,,,,,,,
Last Dentist Visit - Within the past 2 years,16.8,7.0,13.1,14.8,20.0,15.5,11.7,11.7,12.7,21.0,13.4,63.1068,-54.5455,-7.0922,7.2464,28.2051,-1.2739,-18.75,0.8621,-23.0303,77.9661,0.0
Last Dentist Visit - Within the past 5 years,9.9,19.3,12.9,14.4,16.9,12.6,12.2,12.9,22.0,14.1,13.0,-40.3614,22.9299,8.4034,50.0,79.7872,13.5135,20.7921,6.6116,40.1274,-16.0714,-12.7517
Last Dentist Visit - Within the past year,53.3,53.2,62.2,44.8,46.6,58.4,63.6,61.7,47.7,50.3,56.7,-2.2018,-1.2987,5.2453,-17.9487,-13.3829,-1.6835,0.9524,-0.9631,4.8352,-5.6285,7.5901
Last Smoked - 10+ years,51.9,44.5,53.6,56.4,67.0,44.2,52.9,49.0,37.8,56.7,37.4,27.5184,544.9275,285.6115,563.5294,449.1803,298.1982,429.0,-3.5433,,559.3023,-19.2225
Last Smoked - Never smoked regularly,R,R,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-100.0,-100.0,-100.0,-100.0,-100.0,,-100.0,-100.0
Last Smoked - Within past 10 years,10.0,10.2,14.3,R,R,12.0,17.3,11.5,R,R,28.6,-36.3057,47.8261,2.8777,,,8.1081,73.0,6.4815,,,138.3333
Last Smoked - Within past 3 months,R,R,R,R,R,R,R,R,R,R,R,,,,,,,,,,,
Last Smoked - Within past 5 years,25.1,39.7,17.2,R,R,32.9,18.3,20.2,36.9,22.5,22.2,34.9462,309.2784,63.8095,,,97.006,30.7143,-11.4035,,44.2308,24.0223
Last Smoked - Within past 6 months,R,R,R,R,0.0,R,R,R,R,R,R,,,,,-100.0,,,,,,
Last Smoked - Within past month,R,R,4.9,R,R,R,R,R,R,R,R,,,19.5122,,,,,,,,
Last Smoked - Within past year,R,R,R,R,R,R,R,R,R,R,R,,,,,,,,,,,
Leftover Pain Meds - No,57.2,64.7,59.1,N,60.5,55.5,47.1,54.7,71.4,62.0,52.7,,,,,,,,,,,
Leftover Pain Meds - Yes,42.8,35.3,40.9,N,39.5,44.5,52.9,45.3,R,38.0,47.3,,,,,,,,,,,
Leisure Time PA - No,25.1,29.2,23.0,28.1,30.8,25.6,20.7,22.9,24.1,29.6,30.2,-30.854,9.3633,-6.1224,-20.6215,-14.2061,-6.9091,,-19.0813,-30.9456,2.7778,-6.7901
Leisure Time PA - Yes,74.9,70.8,77.0,71.9,69.2,74.4,79.3,77.1,75.9,70.4,69.8,17.5824,-3.4106,1.9868,11.3003,7.9563,2.6207,,7.5314,16.5899,-1.1236,3.2544
Lifetime Asthma - No,78.9,85.4,84.7,84.7,86.8,85.4,84.0,82.2,84.9,88.0,89.9,-12.4306,4.1463,-4.7244,-1.7401,-3.9823,-5.3215,-3.8902,-5.9497,-1.7361,-0.9009,-0.663
Lifetime Asthma - Yes,21.1,14.6,15.3,15.3,13.2,14.6,16.0,17.8,15.1,12.0,10.1,113.1313,-18.8889,37.8378,10.8696,37.5,48.9796,26.9841,41.2698,11.0294,7.1429,6.3158
Mammogram - No,46.4,32.1,37.3,35.2,36.5,34.3,32.6,28.9,48.2,39.9,43.4,35.277,66.3212,4.1899,4.7619,24.1497,4.5732,-13.7566,-16.474,19.603,9.3151,9.596
Mammogram - Yes,53.6,67.9,62.7,64.8,63.5,65.7,67.4,71.1,51.8,60.1,56.6,-18.417,-15.8612,-2.3364,-2.4096,-10.0567,-2.2321,8.3601,8.7156,-13.2328,-5.3543,-6.2914
Mammogram Past 2 Yrs 40+ - No,42.7,37.4,26.3,30.2,33.6,24.8,30.1,34.8,37.6,33.2,22.2,-42.0624,-42.7259,-63.3705,-53.8226,-54.2857,-67.7503,-58.1944,-50.8475,-33.2149,-51.6035,-65.7407
Mammogram Past 2 Yrs 40+ - Yes,57.3,62.6,73.7,69.8,66.4,75.2,69.9,65.2,62.4,66.8,77.8,117.8707,80.4035,161.3475,101.7341,150.566,225.5411,149.6429,123.2877,42.7918,112.7389,121.0227
Mammogram Past 2 Yrs 40+ IA - No,42.9,36.9,26.4,30.2,33.2,25.4,29.7,34.5,37.6,37.6,22.2,,,,,,,,,,,
Mammogram Past 2 Yrs 40+ IA - Yes,57.1,63.1,73.6,69.8,66.8,74.6,70.3,65.5,62.4,62.4,77.8,,,,,,,,,,,
Mammogram Past 2 Yrs 50+ - No,36.1,33.2,22.3,29.0,24.3,18.9,28.6,29.3,35.3,26.8,23.7,-51.9947,-51.2482,-71.2629,-57.6023,-69.0051,-76.4339,-62.1192,-61.9974,-43.6102,-62.2535,-65.7019
Mammogram Past 2 Yrs 50+ - Yes,63.9,66.8,77.7,71.0,75.7,81.1,71.4,70.7,64.7,73.2,76.3,157.6613,109.4044,246.875,124.6835,250.463,309.596,191.4286,208.7336,72.9947,152.4138,146.9256
Mammogram Past 2 Yrs 50+ IA - No,36.3,32.7,22.8,29.0,24.0,19.0,28.3,28.8,35.3,32.9,23.7,,,,,,,,,,,
Mammogram Past 2 Yrs 50+ IA - Yes,63.7,67.3,77.2,71.0,76.0,81.0,71.7,71.2,64.7,67.1,76.3,,,,,,,,,,,
Mammogram Past 2 Yrs 50-74 - No,38.5,31.8,20.5,27.7,R,15.6,27.0,26.3,43.0,17.3,22.0,-51.5723,-53.1664,-73.8186,-61.0408,,-81.0909,-65.4731,-66.7929,,-76.2036,-67.9767
Mammogram Past 2 Yrs 50-74 - Yes,61.5,68.2,79.5,72.3,78.8,84.4,73.0,73.7,57.0,82.7,78.0,200.0,112.4611,266.3594,150.173,231.0924,382.2857,234.8624,254.3269,,202.9304,149.2013
Mammogram Past 2 Yrs 50-74 I - No,38.8,31.2,21.2,27.7,R,15.7,26.8,25.7,43.0,R,22.0,,,,,,,,,,,
Mammogram Past 2 Yrs 50-74 I - Yes,61.2,68.8,78.8,72.3,79.3,84.3,73.2,74.3,57.0,73.9,78.0,,,,,,,,,,,
Medical Cost - No,80.0,79.1,83.4,78.4,81.9,82.7,87.0,81.4,83.2,80.1,83.1,-2.7947,-6.6116,0.361,-0.7595,5.5412,0.8537,0.346,-0.3672,0.8485,7.3727,11.245
Medical Cost - Yes,20.0,20.9,16.6,21.6,18.1,17.3,13.0,18.6,16.8,19.9,16.9,12.9944,36.6013,-1.7751,2.8571,-19.1964,-3.8889,-2.2556,1.6393,-4.0,-21.6535,-33.2016
Memory Loss - No,90.5,82.9,84.6,81.5,75.9,87.8,81.4,83.6,81.5,83.4,84.9,,,,,,,,,,,
Memory Loss - Yes,9.5,17.1,15.4,18.5,24.1,12.2,18.6,16.4,R,16.6,15.1,,,,,,,,,,,
Menthol Cig - No,63.3,84.9,72.0,N,52.7,48.2,70.3,69.4,70.0,N,48.1,,,,,,,,,,,
Menthol Cig - Yes,36.7,R,28.0,N,47.3,51.8,29.7,30.6,30.0,N,51.9,,,,,,,,,,,
Menthol E-Cig - No,74.0,77.8,75.4,N,N,76.3,75.9,71.0,N,N,N,,,,,,,,,,,
Menthol E-Cig - Yes,R,R,24.6,N,N,R,24.1,29.0,N,N,N,,,,,,,,,,,
Obese - No,53.2,55.5,66.0,61.5,61.2,63.2,68.5,63.6,60.2,63.7,59.7,-21.1852,-18.8596,-4.4863,-8.8889,-6.8493,-4.2424,-4.1958,-5.0746,11.0701,-1.2403,2.4014
Obese - Yes,46.8,44.5,34.0,38.5,38.8,36.8,31.5,36.4,39.8,36.3,40.3,44.0,40.8228,10.0324,18.4615,13.1195,8.2353,10.5263,10.303,-13.1004,2.2535,-3.3573
Other Cancer - No,95.8,89.9,91.8,91.9,88.7,92.5,93.2,94.2,96.3,94.9,95.0,0.9484,-5.3684,-1.5021,-3.2632,-6.8277,-2.734,-1.4799,0.2128,4.902,-0.8359,0.8493
Other Cancer - Yes,4.2,10.1,8.2,8.1,11.3,7.5,6.8,5.8,R,5.1,5.0,-17.6471,102.0,20.5882,62.0,135.4167,53.0612,25.9259,-3.3333,,18.6047,-13.7931
OtherStoolTest - No,59.9,67.3,74.1,N,78.6,71.5,66.4,76.7,93.8,65.3,62.9,,,,,,,,,,,
OtherStoolTest - Yes,40.1,32.7,25.9,N,21.4,28.5,33.6,23.3,R,34.7,37.1,,,,,,,,,,,
Overweight or Obese - No,21.7,30.0,29.8,25.4,23.8,32.5,34.1,28.7,21.7,24.8,27.0,-32.3988,-2.9126,-6.2893,-30.411,-19.8653,2.5237,-3.6723,0.7018,-14.5669,-15.3584,6.7194
Overweight or Obese - Yes,78.3,70.0,70.2,74.6,76.2,67.5,65.9,71.3,78.3,75.2,73.0,15.3166,1.3025,2.9326,17.4803,8.3926,-1.1713,2.0124,-0.2797,4.9598,6.3649,-2.2758
Pain Med Not Rx - No,93.1,98.5,97.1,99.2,90.7,96.5,96.5,96.1,94.1,92.1,94.5,,,,,,,,,,,
Pain Med Not Rx - Yes,R,R,2.9,R,R,3.5,3.5,3.9,R,7.9,5.5,,,,,,,,,,,
Pap - HPV Test Past 5 Yrs 21 - No,65.6,46.5,61.0,N,62.7,57.8,60.3,62.5,57.7,66.8,62.2,,,,,,,,,,,
Pap - HPV Test Past 5 Yrs 21 - Yes,34.4,53.5,39.0,N,37.3,42.2,39.7,37.5,42.3,33.2,37.8,,,,,,,,,,,
Pap - HPV Test Past 5 Yrs 21 2 - No,65.7,46.3,61.2,N,63.2,58.0,60.7,62.4,57.7,69.5,62.2,,,,,,,,,,,
Pap - HPV Test Past 5 Yrs 21 2 - Yes,34.3,53.7,38.8,N,36.8,42.0,39.3,37.6,42.3,30.5,37.8,,,,,,,,,,,
Pap Test Past 3 Yrs 21-65 - No,37.2,28.4,35.2,N,47.5,37.6,30.7,30.6,33.5,44.9,35.6,-52.7919,-45.6979,-56.3275,,-34.4828,-52.6448,-62.3313,-59.4702,-57.2158,-41.9897,-52.4064
Pap Test Past 3 Yrs 21-65 - Yes,62.8,71.6,64.8,N,52.5,62.4,69.3,69.4,66.5,55.1,64.4,196.2264,50.1048,234.0206,,90.9091,202.9126,274.5946,183.2653,206.4516,143.8053,155.5556
Pap Test Past 3 Yrs 21-65 IA - No,37.4,28.3,35.4,N,47.3,37.6,31.0,30.5,33.5,49.0,35.6,,,,,,,,,,,
Pap Test Past 3 Yrs 21-65 IA - Yes,62.6,71.7,64.6,N,52.7,62.4,69.0,69.5,66.5,51.0,64.4,,,,,,,,,,,
Pap Test Past 5 Yrs 21-65 - No,R,20.8,27.9,N,30.1,33.8,24.8,23.3,28.4,37.5,34.8,,,,,,,,,,,
Pap Test Past 5 Yrs 21-65 - Yes,73.3,79.2,72.1,N,69.9,66.2,75.2,76.7,71.6,62.5,65.2,,,,,,,,,,,
Pap Test Past 5 Yrs 21-65 IA - No,R,20.8,28.1,N,30.1,33.8,25.2,23.2,28.4,42.1,34.8,,,,,,,,,,,
Pap Test Past 5 Yrs 21-65 IA - Yes,73.2,79.2,71.9,N,69.9,66.2,74.8,76.8,71.6,57.9,65.2,,,,,,,,,,,
"Pneumonia Shot, 18+ - No",67.5,61.5,66.5,61.1,70.7,69.6,64.6,68.4,74.8,67.4,74.8,-3.2951,-0.3241,-4.454,-3.7795,17.053,-0.4292,-4.7198,-2.2857,4.7619,-2.3188,8.5631
"Pneumonia Shot, 18+ - Yes",32.5,38.5,33.5,38.9,29.3,30.4,35.4,31.6,25.2,32.6,25.2,7.6159,0.5222,10.1974,6.5753,-26.0101,0.9967,9.9379,5.3333,-11.8881,5.1613,-18.9711
"Pneumonia Shot, 65+ - No",27.3,26.3,26.8,32.1,30.6,30.4,25.0,34.4,61.5,39.5,34.0,-2.847,-0.3788,3.876,33.195,-4.9689,-14.6067,-7.7491,12.0521,,25.3968,3.9755
"Pneumonia Shot, 65+ - Yes",72.7,73.7,73.2,67.9,69.4,69.6,75.0,65.6,38.5,60.5,66.0,1.1127,0.1359,-1.3477,-10.5402,2.3599,8.0745,2.8807,-5.3391,,-11.6788,-1.9316
Poor Mental Health 14+ Days - 14 or more days,11.2,17.3,16.0,16.0,23.3,13.3,16.3,18.2,12.0,16.4,17.5,30.2326,60.1852,77.7778,35.5932,142.7083,46.1538,87.3563,109.1954,-16.0839,36.6667,54.8673
Poor Mental Health 14+ Days - None to less than 14 days,88.8,82.7,84.0,84.0,76.7,86.7,83.7,81.8,88.0,83.6,82.5,-2.8446,-7.287,-7.6923,-4.7619,-15.1549,-4.6205,-8.3242,-10.4053,2.6838,-5.0,-6.9899
Poor Mental Health 5+ Days - 5 or more days,31.4,29.8,30.6,29.3,33.3,28.4,31.8,34.6,21.8,27.2,33.7,110.7383,81.7073,97.4194,78.6585,103.0488,65.1163,78.6517,101.1628,-2.2422,27.6995,82.1622
Poor Mental Health 5+ Days - None to less than 5 days,68.6,70.2,69.4,70.7,66.7,71.6,68.2,65.4,78.2,72.8,66.3,-19.389,-16.0287,-17.8698,-15.4306,-20.2153,-13.5266,-17.0316,-21.0145,0.6435,-7.4968,-18.6503
Poor Physical Health 14+ Day - 14 or more days,13.1,17.7,12.1,11.3,13.8,11.0,11.8,14.8,15.2,14.0,11.8,24.7619,-5.3476,16.3462,-28.481,-2.1277,17.0213,8.2569,37.037,0.0,14.7541,-26.7081
