Sheet,1,2,3,4,5,6,7,8,9,10,11,PHR1_pct_diff,PHR2_pct_diff,PHR3_pct_diff,PHR4_pct_diff,PHR5_pct_diff,PHR6_pct_diff,PHR7_pct_diff,PHR8_pct_diff,PHR9_pct_diff,PHR10_pct_diff,PHR11_pct_diff
BMI 5 Categories - Recommended Range,20.9,28.7,28.1,24.1,23.4,29.3,31.5,26.7,19.7,23.2,25.3,-30.3333,1.4134,-7.2607,-29.7376,-9.6525,0.0,,-3.2609,-17.2269,-18.8811,4.1152
BMI 5 Categories - Underweight,R,R,1.7,R,R,3.2,2.6,R,R,R,R,,,21.4286,,,33.3333,,,,,
BP Location - At home,83.8,85.2,85.2,77.4,85.6,84.2,82.3,80.4,86.9,87.9,88.2,,,,,,,,,,,
BP Location - Do not check it,9.1,7.9,7.7,R,R,R,9.3,R,R,R,R,,,,,,,,,,,
BP Location - On a machine at pharmacy or store,R,R,7.1,R,R,R,8.4,12.8,R,R,R,,,,,,,,,,,
BP Sharing - Do Not Share,10.7,R,7.3,R,R,9.5,7.6,5.3,R,R,R,,,,,,,,,,,
"BP Sharing - Email, Portal, or Fax",6.0,5.0,13.6,R,R,R,18.3,13.3,R,R,R,,,,,,,,,,,
BP Sharing - In Person,74.3,85.1,76.0,72.0,75.8,73.1,68.5,78.1,73.6,82.3,80.9,,,,,,,,,,,
BP Sharing - Telephone,R,R,3.1,R,R,R,R,3.4,R,R,R,,,,,,,,,,,
Binge Drinking - No,82.8,89.4,84.3,90.2,81.1,83.0,82.5,82.3,79.0,87.3,81.3,-4.0556,-4.5891,0.2378,1.1211,-7.1019,-2.4677,0.8557,1.23,-1.8634,8.1784,-3.9007
Binge Drinking - Yes,17.2,10.6,15.7,9.8,18.9,17.0,17.5,17.7,21.0,12.7,18.7,25.5474,68.254,-1.2579,-9.2593,48.8189,14.094,-3.8462,-5.3476,7.6923,-34.1969,21.4286
Binge-Heavy Drinking - Femal - No,88.2,94.7,81.7,N,81.4,80.6,81.7,76.8,80.4,88.0,81.9,6.1372,,,,,,1.6169,-2.9077,,,-6.2929
Binge-Heavy Drinking - Femal - Yes,R,R,18.3,N,R,19.4,18.3,23.2,19.6,R,18.1,,,,,,,-6.6327,11.0048,,,43.6508
Blind - No,92.9,87.8,93.5,92.0,90.0,94.4,94.8,92.5,89.4,91.0,87.4,-2.5184,-6.9915,-1.7857,2.3359,-1.4239,0.2123,-0.5247,-2.9381,-5.4968,-5.2083,-7.1201
Blind - Yes,7.1,12.2,6.5,R,10.0,5.6,5.2,7.5,10.6,9.0,12.6,51.0638,117.8571,35.4167,,14.9425,-3.4483,10.6383,59.5745,96.2963,125.0,113.5593
COPD - No,93.2,93.7,94.4,88.8,93.1,93.4,94.4,94.9,96.4,94.0,96.0,-1.8947,1.4069,0.4255,-3.792,-0.7463,-1.7876,-0.3168,-0.1053,5.3552,-1.3641,0.3135
COPD - Yes,6.8,6.3,5.6,11.2,6.9,6.6,5.6,5.1,R,6.0,4.0,36.0,-17.1053,-6.6667,45.4545,11.2903,34.6939,5.6604,2.0,,27.6596,-6.9767
CVD - No,88.0,85.7,91.1,82.7,86.6,94.5,92.7,92.4,93.0,93.1,91.8,-5.3763,4.5122,-1.1931,-9.8146,0.1156,3.2787,-0.1078,0.2169,1.5284,1.7486,-0.2174
CVD - Yes,12.0,14.3,8.9,17.3,13.4,5.5,7.3,7.6,R,6.9,8.2,71.4286,-20.5556,14.1026,108.4337,-0.7407,-35.2941,1.3889,-2.5641,,-18.8235,2.5
Cervical Cancer Screening - No,13.5,19.0,23.8,25.1,23.6,26.0,22.0,15.9,24.8,33.7,28.0,,,,,,,,,,,
Cervical Cancer Screening - Yes,86.5,81.0,76.2,74.9,76.4,74.0,78.0,84.1,75.2,66.3,72.0,,,,,,,,,,,
Cervical Cancer Screening HP - No,51.0,51.8,51.0,61.1,55.4,45.3,52.3,52.4,43.5,50.8,45.7,,,,,,,,,,,
Cervical Cancer Screening HP - Yes,49.0,48.2,49.0,38.9,44.6,54.7,47.7,47.6,56.5,49.2,54.3,,,,,,,,,,,
Cervical Cancer Screening Pa - No,R,R,4.4,R,R,8.9,4.7,6.1,R,R,R,,,,,,,,,,,
Cervical Cancer Screening Pa - Yes,89.7,98.0,95.6,95.4,91.7,91.1,95.3,93.9,91.0,92.3,92.9,,,,,,,,,,,
Chest CT or CAT Scan - No,61.0,54.4,60.9,46.8,57.0,64.5,61.4,55.6,60.4,60.9,62.3,,,,,,,,,,,
Chest CT or CAT Scan - Yes,39.0,45.6,39.1,53.2,43.0,35.5,38.6,44.4,39.6,39.1,37.7,,,,,,,,,,,
ClnscpySgmscpy - Both,12.1,11.1,13.4,16.6,24.2,12.2,13.7,14.4,R,12.5,20.8,,,,,,,,,,,
ClnscpySgmscpy - Colonoscopy,87.6,88.6,86.0,83.3,75.5,87.8,86.3,84.6,82.0,86.3,77.9,-10.4294,-8.7539,-11.7043,-12.5,-22.3251,-8.8266,-10.7549,-13.0524,-13.5021,-8.7738,-20.1026
ClnscpySgmscpy - Sigmoidoscopy,R,R,R,R,R,R,0.0,R,R,R,R,,,,,,,-100.0,,,,
Cog Decline Discuss - No,59.3,40.4,56.8,N,43.1,59.1,55.7,53.1,N,N,59.6,,,,,,,,,,,
Cog Decline Discuss - Yes,40.7,59.6,43.2,N,56.9,40.9,44.3,46.9,N,N,40.4,,,,,,,,,,,
Cog Decline Worry - No,35.5,R,37.3,N,32.7,41.6,35.4,37.3,N,N,R,,,,,,,,,,,
Cog Decline Worry - Yes,64.5,73.5,62.7,N,67.3,58.4,64.6,62.7,N,N,78.3,,,,,,,,,,,
Col Past 10 Yrs 50-75 - No,40.4,37.0,37.4,39.5,49.5,41.8,30.9,35.7,42.2,35.7,49.0,-24.7672,-33.9286,-40.3509,-28.5714,-7.4766,-28.7905,-47.449,-42.6045,14.6739,-22.2222,1.4493
Col Past 10 Yrs 50-75 - Yes,59.6,63.0,62.6,60.5,50.5,58.2,69.1,64.3,57.8,64.3,51.0,28.7257,43.1818,67.8284,35.3468,8.6022,40.9201,67.7184,70.1058,-8.5443,18.854,-1.354
Col Past 10 Yrs 50-75 IA - No,40.7,37.3,37.4,38.6,48.9,42.1,30.6,35.7,42.2,38.3,49.0,,,,,,,,,,,
Col Past 10 Yrs 50-75 IA - Yes,59.3,62.7,62.6,61.4,51.1,57.9,69.4,64.3,57.8,61.7,51.0,,,,,,,,,,,
Coronary Heart Disease - No,94.9,92.4,96.1,93.0,94.7,97.1,96.0,96.5,98.1,96.9,95.6,-0.8359,1.7621,-0.8256,-1.8987,1.1752,0.7261,-0.4149,0.4162,1.9751,1.2539,0.3148
Coronary Heart Disease - Yes,5.1,7.6,3.9,7.0,R,2.9,4.0,3.5,R,3.1,4.4,18.6047,-17.3913,25.8065,34.6154,,-19.4444,11.1111,-10.2564,,-27.907,-6.383
Current Asthma - No,29.4,33.3,38.7,N,R,51.8,32.2,33.9,51.3,33.8,47.6,-15.2738,-27.451,22.4684,,,17.7273,-20.297,-9.1153,,-4.2493,26.5957
Current Asthma - Yes,70.6,66.7,61.3,N,66.8,48.2,67.8,66.1,48.7,66.2,52.4,8.1164,23.2902,-10.3801,,-11.4058,-13.9286,13.7584,5.4226,,2.3184,-16.0256
Current Asthma 2 - No,86.3,90.7,90.8,89.6,91.2,93.2,89.4,88.4,93.2,92.1,95.0,-7.8975,0.443,-2.2605,-0.4444,-2.2508,-1.7914,-3.4557,-4.1215,0.431,-1.1803,0.8493
Current Asthma 2 - Yes,13.7,9.3,9.2,10.4,R,6.8,10.6,11.6,6.8,7.9,5.0,117.4603,-4.1237,29.5775,4.0,,33.3333,43.2432,48.7179,-5.5556,16.1765,-13.7931
Current E-cig User - No,89.8,90.5,93.0,91.0,91.1,94.0,90.4,91.2,87.9,89.1,91.3,,,,,,,,,,,
Current E-cig User - Yes,10.2,9.5,7.0,9.0,8.9,6.0,9.6,8.8,12.1,10.9,8.7,,,,,,,,,,,
Current Smoker - No,86.4,88.7,92.7,82.7,84.4,88.8,90.5,92.4,80.0,87.5,89.7,6.2731,5.0948,8.548,6.8475,8.4833,1.9518,4.8667,8.1967,1.6518,2.5791,4.9123
Current Smoker - Yes,13.6,11.3,7.3,17.3,15.6,11.2,9.5,7.6,20.0,12.5,10.3,-27.2727,-27.5641,-50.0,-23.4513,-29.7297,-13.1783,-30.6569,-47.9452,-6.1033,-14.966,-28.9655
Deaf - No,91.8,90.3,93.7,91.1,91.6,95.2,94.1,92.9,90.8,92.5,90.8,,,,,,,,,,,
Deaf - Yes,8.2,9.7,6.3,8.9,8.4,4.8,5.9,7.1,R,7.5,9.2,,,,,,,,,,,
