"","%IncMSE","IncNodePurity"
"cve",-1.21427321689717,0.855728603298755
"enrollment",4.89693497276409,0.483991236591879
"population",6.5683051648037,0.50241901403942
"pct_hispanic",1.69114558322343,0.257053220693032
"pct_black",1.90920801076071,0.175857176596972
"pct_white",0.416534398633624,0.245741631689919
"pct_poverty",-1.83634494846208,0.231111413109118
"pct_uninsured",-0.437315887941133,1.0464037423587
"pct_college",3.49613929884621,0.627360714231988
"pct_foreign_born",1.8671822928784,0.139809586944261
"advised_to_change_eating_hab_yes",-1.03031309551762,0.000955507077201757
"advised_to_cut_down_salt_yes",0,0
"advised_to_exercise_yes",1.93323873708173,0.00833494116536618
"advised_to_take_med_yes",1.51919351821057,0.00503758991502281
"all_teeth_removed_65_no",0.46083399080854,0.00508420607822336
"any_cancer_yes",4.34354158323962,0.0922669751932677
"any_drinking_past_month_yes",0.834163845594894,0.000700017899551872
"arthritis_yes",1.05382080625388,0.00379367382109197
"asthma_status_never",2.40391649189398,0.0637927897737276
"bmi_3_categories_obese",2.46814989000931,0.0602712598614281
"bmi_3_categories_overweight",2.10123993387061,0.0465762488651316
"bmi_3_categories_recommended_range",2.17932267514036,0.0243377180539853
"bmi_4_categories_obese",2.12038693032271,0.0586807559037132
"bmi_4_categories_overweight",1.3387640926802,0.0347177963567393
"bmi_4_categories_recommended_range",3.03476221307475,0.0861595657332247
"bmi_5_categories_obese",2.49719169882626,0.0473365930238773
"bmi_5_categories_overweight",2.11700105358693,0.0173492015677872
"bmi_5_categories_recommended_range",3.80738885855506,0.105365275911513
"bp_location_at_home",-1.41579194999773,0.00293198901286592
"bp_sharing_in_person",-0.660179862736544,0.00185395864900324
"binge_drinking_yes",-0.737155558687731,0.00184363278379275
"blind_no",0,0
"copd_no",0.276477666071098,0.00518153771049914
"cvd_no",-1.03956624487503,0.00479488264920065
"cervical_cancer_screening_yes",0.759867655561699,0.0668391194401126
"cervical_cancer_screening_hp_yes",1.37894260950914,0.00632935317145293
"cervical_cancer_screening_pa_yes",2.532355207055,0.0640520592916218
