variable,phr,percent
mammogram_past_2_yrs_50_yes,1,24.8
mammogram_past_2_yrs_50_yes,8,22.9
mammogram_yes,1,65.7
mammogram_yes,11,60.4
medical_cost_no,1,82.3
medical_cost_no,8,81.7
medical_cost_no,11,74.7
medical_cost_yes,1,17.7
medical_cost_yes,8,18.3
medical_cost_yes,11,25.3
other_cancer_no,1,94.9
other_cancer_no,8,94
other_cancer_no,11,94.2
other_cancer_yes,1,5.1
other_cancer_yes,8,6
other_cancer_yes,11,5.8
overweight_or_obese_no,8,28.5
overweight_or_obese_yes,8,71.5
pap_test_past_3_yrs_21_65_no,8,75.5
pap_test_past_3_yrs_21_65_no,11,74.8
pap_test_past_3_yrs_21_65_yes,8,24.5
pap_test_past_3_yrs_21_65_yes,11,25.2
pneumonia_shot_18_no,8,70
pneumonia_shot_18_yes,8,30
pneumonia_shot_65_no,1,28.1
pneumonia_shot_65_yes,1,71.9
poor_mental_health_14_days_14_or_more_days,1,8.6
poor_mental_health_14_days_none_to_less_than_14_days,1,91.4
poor_mental_health_5_days_5_or_more_days,1,14.9
poor_mental_health_5_days_none_to_less_than_5_days,1,85.1
poor_physical_health_5_days_5_or_more_days,8,17
poor_physical_health_5_days_5_or_more_days,11,22.7
poor_physical_health_5_days_none_to_less_than_5_days,8,83
poor_physical_health_5_days_none_to_less_than_5_days,11,77.3
pre_diabetes_no,11,93.3
pre_diabetes_yes,11,5.1
pre_diabetes_yes_during_pregnancy,11,1.5
quit_smoking_in_past_yr_no,1,51.7
quit_smoking_in_past_yr_no,8,35
quit_smoking_in_past_yr_no,11,36.7
quit_smoking_in_past_yr_yes,1,48.3
quit_smoking_in_past_yr_yes,8,65
quit_smoking_in_past_yr_yes,11,63.3
removeteeth_1_to_5,1,24.1
removeteeth_1_to_5,8,29.6
removeteeth_1_to_5,11,30.7
removeteeth_6_or_more_but_not_all,1,6.1
removeteeth_6_or_more_but_not_all,8,7
removeteeth_6_or_more_but_not_all,11,7.1
removeteeth_all,1,8.1
removeteeth_all,8,2.8
removeteeth_all,11,3.6
routine_checkup_5_or_more_years,1,13
routine_checkup_5_or_more_years,8,8.9
routine_checkup_5_or_more_years,11,10.4
routine_checkup_never,1,2
routine_checkup_never,8,2.2
routine_checkup_never,11,2.2
routine_checkup_within_the_past_2_years,1,12.3
routine_checkup_within_the_past_2_years,8,12.9
routine_checkup_within_the_past_2_years,11,12.7
routine_checkup_within_the_past_5_years,1,9.6
routine_checkup_within_the_past_5_years,8,8.5
routine_checkup_within_the_past_5_years,11,9.3
routine_checkup_within_the_past_year,1,63.1
routine_checkup_within_the_past_year,8,67.5
routine_checkup_within_the_past_year,11,65.4
served_on_active_duty_no,8,86.6
served_on_active_duty_no,11,92.5
served_on_active_duty_yes,8,13.4
served_on_active_duty_yes,11,7.5
smoker_status_current_smoker_every_day,1,12
smoker_status_current_smoker_every_day,8,7.4
smoker_status_current_smoker_every_day,11,7.1
smoker_status_current_smoker_some_days,1,6.7
smoker_status_current_smoker_some_days,8,7.2
smoker_status_current_smoker_some_days,11,7.4
smoker_status_former_smoker,1,23.9
smoker_status_former_smoker,8,22.7
smoker_status_former_smoker,11,20.7
smoker_status_never_smoked,1,57.5
smoker_status_never_smoked,8,62.7
smoker_status_never_smoked,11,64.8
teeth_removed_no,1,61.6
teeth_removed_no,8,60.5
teeth_removed_no,11,58.6
up_to_date_crc_scrn_age_50_7_no,1,55
up_to_date_crc_scrn_age_50_7_yes,1,45
