"","%IncMSE","IncNodePurity"
"heavy_drinking_males_no",0.971219014702613,4.50666452751575e-05
"heavy_drinking_no",0,0
"hlth_affected_activ_14_days_14_or_more_days",0,0
"hlth_affected_activ_14_days_none_to_less_than_14_days",1.00167084494127,0.000208016789696328
"hlth_affected_activ_5_days_5_or_more_days",1.05919840617331,0.000659090272886534
"hlth_affected_activ_5_days_none_to_less_than_5_days",1.12030272684459,0.00028522317645318
"home_bp_check_yes",0,0
"hysterectomy_no",0,0
"hysterectomy_yes",0,0
"kidney_disease_no",1.3054054911731,0.00149616783130248
"last_dentist_visit_5_or_more_years",0.255031328225559,0.000324607801394463
"last_dentist_visit_within_the_past_2_years",0.702865063734605,0.000681688439894352
"last_dentist_visit_within_the_past_5_years",0,0
"last_dentist_visit_within_the_past_year",-1.00167084494127,0.000585830932446016
"last_smoked_10_years",1.00167084494127,3.19957120382394e-05
"leisure_time_pa_no",0,0
"leisure_time_pa_yes",-1.00167084494127,0.00122123669423318
"lifetime_asthma_no",1.41002822192277,0.00128748328398978
"lifetime_asthma_yes",0.973439461457001,0.00039020401537976
"mammogram_no",1.91111035576705,0.00489272051369888
"mammogram_yes",0,0
"mammogram_past_2_yrs_40_no",2.05950269924056,0.00479722175460585
"mammogram_past_2_yrs_40_yes",1.00167084494127,0.000255288984864847
"mammogram_past_2_yrs_40_ia_no",4.47698928380287,0.0267697033914302
"mammogram_past_2_yrs_40_ia_yes",1.68736625758319,0.00293913403345725
"mammogram_past_2_yrs_50_no",1.74693809655218,0.00591410074733701
"mammogram_past_2_yrs_50_yes",1.20298824596001,0.0010541018835581
"mammogram_past_2_yrs_50_ia_no",3.9808518158925,0.0233647782195226
"mammogram_past_2_yrs_50_ia_yes",1.59315055197742,0.00592794656088855
"mammogram_past_2_yrs_50_74_yes",1.16006026500105,0.000479275335636093
"mammogram_past_2_yrs_50_74_i_yes",0,0
"medical_cost_no",0,0
"medical_cost_yes",-0.644498760399213,4.20799202300959e-05
"memory_loss_no",1.56377922046166,0.00883720450530343
"obese_no",1.00167084494127,4.37765463701357e-06
"obese_yes",1.32441181848267,0.00482777359529113
"other_cancer_no",0,0
"overweight_or_obese_no",-1.00167084494127,0.000205398311848628
"overweight_or_obese_yes",1.58429577708547,0.00257737963833279
"pain_med_not_rx_no",0.559516793515707,0.000108431807563092
"pneumonia_shot_18_no",0,0
"pneumonia_shot_18_yes",0.948657441302158,0.000313793306877258
"pneumonia_shot_65_no",-0.653371494661875,1.21849472196643e-05
"pneumonia_shot_65_yes",0,0
"poor_mental_health_14_days_14_or_more_days",1.42190297182703,0.00134749581906929
"poor_mental_health_14_days_none_to_less_than_14_days",2.61416183361014,0.0173039199501156
"poor_mental_health_5_days_5_or_more_days",1.00167084494127,9.24875551864174e-05
"poor_mental_health_5_days_none_to_less_than_5_days",1.00167084494127,0.000172080230834638
"poor_physical_health_14_day_14_or_more_days",1.03011048908037,6.63129342275255e-05
"poor_physical_health_14_day_none_to_less_than_14_days",0,0
"poor_physical_health_5_days_5_or_more_days",0.881094250549122,0.00270736089664992
"poor_physical_health_5_days_none_to_less_than_5_days",1.62884892766095,0.00127925601931311
"pre_diabetes_no",0,5.80515071430197e-05
"pre_diabetes_yes",-0.665897081981667,0.000195999406038464
"pre_diabetes_2_no",0,0
"pre_diabetes_2_yes",0,0
"provided_care_past_30_days_no",1.46970840288279,0.000207345877062145
"provided_care_past_30_days_yes",-0.593042614692667,0.00104366377942922
"reg_bp_check_no",-1.00167084494127,0.00102733174328447
"reg_bp_check_yes",0,0
"remove_teeth_1_to_5",1.06122313632157,0.000834309774012881
"remove_teeth_6_or_more_but_not_all",0.744703366919843,0.00110976086413885
"routine_checkup_within_the_past_2_years",1.00167084494127,0.000614333509185142
"routine_checkup_within_the_past_year",1.40041285668213,0.000245720363597905
"routine_checkup_in_the_past_no",0,0.000641032383591585
"routine_checkup_in_the_past_yes",-1.00167084494127,0.000730404555859744
"rx_opioid_no",0.556101374915946,0.00101047457767541
"rx_pain_med_no",-1.00167084494127,0.000371474788194
"rx_pain_risk_ed_source_no",1.40678432030687,0.00024436761697112
"served_on_active_duty_no",1.64631617703943,0.00807166029054509
"served_on_active_duty_yes",-1.01219117942631,0.000871821789198544
"sexual_orientation_straight",0,0
"sigm_past_10_yrs_50_75_ia_no",2.09867637518428,0.00142551266309576
"sigm_past_10_yrs_age_50_75_no",1.88335325922478,0.0017785029957492
"sigm_past_5_yrs_50_75_ia_no",1.26517762754452,0.00912981475947202
"sigm_past_5_yrs_age_50_75_no",2.25612197420747,0.00825430909801009
"skin_cancer_no",-0.101435190814168,0.00152578314243578
"smokeless_tobacco_use_not_at_all",1.0614764392039,0.00194654035635381
"smoker_status_former_smoker",-0.0896297550260029,9.01431889994249e-05
"smoker_status_never_smoked",0.184482820656373,0.000754719991725434
"stool_dna_past_3_yrs_50_75_i_no",0,0
"stool_dna_past_3_yrs_age_50_no",1.40117689477383,0.000126312713033712
"stroke_no",0,0
"suicidal_ideation_no",1.30428339021609,0.00296625922250039
"suicide_attempt_no",0,0
"teeth_removed_no",0,0
"teeth_removed_yes",1.00035065271008,0.00121023848586741
"up_to_date_crc_scrn_50_75_ia_no",0,0
"up_to_date_crc_scrn_50_75_ia_yes",0,0
"up_to_date_crc_scrn_age_50_7_no",0,0
"up_to_date_crc_scrn_age_50_7_yes",0,0
"v_col_5_yrs_50_75_ia_no",-1.00167084494127,1.52401248487047e-06
"v_col_5_yrs_age_50_75_no",-1.00167084494127,1.09442899383305e-06
"virtual_colonoscopy_no",0.996729212421727,3.01159823810432e-05
