FNloss,cp,precision,precision_std,recall,recall_std,accuracy,accuracy_std
1,0.02054794520547945,0.896884341149047,0.0784613739188867,0.913235294117647,0.0890519128132667,0.9018716577540107,0.046521540937002684
1.1,0.017834394904458605,0.8974337916984976,0.07868409833516159,0.9257352941176471,0.07633141558864877,0.9079322638146168,0.047123991589881856
1.2,0.019108280254777073,0.8786000274235568,0.083697280274095745,0.8944852941176471,0.09780993409864558,0.8836898395721925,0.0522457869206714
1.3,0.01528662420382166,0.8746851922587217,0.07661620816814461,0.9375,0.07795119555779044,0.8987522281639928,0.03493336702849521
1.4,0.014012738853503182,0.8757242104300927,0.0684498491785291,0.9319852941176471,0.07987808647293367,0.8989304812834225,0.04244562408171375
1.5,0.028662420382165606,0.8869762753586283,0.07523760607606929,0.919485294117647,0.07780559949615809,0.8989304812834225,0.03448838316479783
1.6,0.03184713375796178,0.8802060031471797,0.08280274876290954,0.9375,0.08838834764831845,0.9018716577540107,0.04440743197828061
1.7000000000000002,0.010191082802547768,0.8731854256854257,0.07575494509736591,0.9319852941176471,0.07424589647261264,0.8959893048128342,0.03452636590672825
1.8,0.038216560509554146,0.8768026418026418,0.07405337297992781,0.9319852941176471,0.07987808647293367,0.8989304812834225,0.04465271279478723
1.9,0,0.8709903168726698,0.07778897384913637,0.95,0.09223309842157773,0.9018716577540107,0.04440743197828061
2,0,0.8647403168726698,0.0681905293860912,0.9625,0.07905694150420949,0.9047237076648842,0.04606587379210547
2.1,0,0.8670579747050335,0.06804007040188349,0.9569852941176471,0.07158478363169841,0.9048128342245989,0.0519604360955825
2.2,0.003821656050955412,0.8599986597509818,0.06951066990304983,0.96875,0.06750771560841522,0.9047237076648841,0.048229923681793296
2.3,0.002547770700636945,0.8573240811476106,0.07795884680936313,0.975,0.06038073644245599,0.9047237076648842,0.054206161722776994
2.4000000000000004,0.028662420382165613,0.8788226805873864,0.08474867346895977,0.9382352941176471,0.07149556437095422,0.9018716577540107,0.04854366619241705
2.5,0,0.8668864060775825,0.0845082383450736,0.94375,0.090571104663684,0.8985739750445633,0.06390898462069738
2.6,0,0.8336242678889738,0.09213429619235658,0.9375,0.08838834764831845,0.8745098039215686,0.06841143244183061
2.7,0,0.8414237297789929,0.08645962327776074,0.9253676470588236,0.0874668677316626,0.8745989304812835,0.0589465125378285
2.8,0.03503184713375796,0.8555351111736561,0.0932446808867971,0.95625,0.06620936909196126,0.8955436720142602,0.06407311897444959
2.9000000000000004,0.03662420382165606,0.854409318751424,0.09422619628578632,0.93125,0.06878155841341324,0.8836898395721925,0.05622631038002288
3,0.038216560509554146,0.8381396003377427,0.10174017715934948,0.9375,0.08838834764831845,0.8775401069518717,0.08035484196347518
3.1,0.0445859872611465,0.8671422540307989,0.09450817709205181,0.95,0.07095577652469333,0.8986631016042781,0.05537502322290614
3.2,0.04140127388535032,0.8575056625521021,0.09374610612278393,0.93125,0.10395812458228876,0.8866310160427807,0.06805960461594887
3.3000000000000003,0.04299363057324841,0.8712223071046601,0.09318114328657451,0.95625,0.07822909731466077,0.9046345811051694,0.06309617700369197
3.4000000000000004,0,0.8546046600458365,0.11026737489778518,0.95,0.06454972243679027,0.8870766488413547,0.06510381857303388
3.5,0.0445859872611465,0.8642580213903743,0.09356713132328093,0.9375,0.09316949906249124,0.8927807486631016,0.06527982236318941
3.6,0.04777070063694268,0.8606165648077413,0.11534309264116435,0.95625,0.05929270612815712,0.893048128342246,0.07007637749145558
3.7,0.04936305732484077,0.8650318309141839,0.1143204040554247,0.95625,0.06620936909196126,0.8959893048128342,0.07019473405139708
3.8000000000000003,0,0.830924688057041,0.10285860596799282,0.95625,0.05929270612815712,0.8750445632798574,0.05876918812525015
3.9000000000000004,0,0.822671277997365,0.10951341310527564,0.95,0.07682953714410738,0.8660427807486631,0.0687823153061846
4,0.0445859872611465,0.8364393939393939,0.10730452381591563,0.95,0.06454972243679027,0.8750445632798574,0.057110276804209645
4.1,0,0.8364393939393939,0.10730452381591563,0.95625,0.05929270612815712,0.8779857397504456,0.061484336178045516
4.2,0,0.8268999202551834,0.10139975228831802,0.9625,0.06038073644245599,0.8749554367201426,0.05881009887669835
4.300000000000001,0,0.8276170984308014,0.1101884551997523,0.9625,0.07905694150420949,0.8750445632798574,0.07753703356131765
4.4,0,0.8413852143728304,0.10729048160287565,0.96875,0.06073908223797188,0.8869875222816399,0.06944351504361854
4.5,0,0.8201247101711497,0.09631109610995947,0.9625,0.07905694150420949,0.8718360071301248,0.0658274715918451
4.6,0,0.8410175673140069,0.10691618344328448,0.9625,0.06038073644245599,0.8840463458110517,0.06604920198574886
4.7,0,0.8413852143728304,0.10729048160287565,0.96875,0.06073908223797188,0.8869875222816399,0.06944351504361854
4.800000000000001,0.06687898089171976,0.8333651642475172,0.11018904906132088,0.96875,0.06073908223797188,0.8809269162210338,0.06994299485006254
4.9,0,0.827267567314007,0.10185097422217447,0.96875,0.06073908223797188,0.8778966131907309,0.06307099281779692
5,0,0.8342423572299733,0.10313846693803015,0.9625,0.07905694150420949,0.8809269162210338,0.07280208890436254
5.1000000000000005,0,0.8413852143728304,0.10729048160287565,0.96875,0.06073908223797188,0.8869875222816399,0.06944351504361854
5.2,0,0.8351352143728304,0.0984829391766224,0.96875,0.06073908223797188,0.8840463458110517,0.06604920198574886
5.3,0,0.8413852143728304,0.10729048160287565,0.96875,0.06073908223797188,0.8869875222816399,0.06944351504361854
5.4,0,0.8413852143728304,0.10729048160287565,0.96875,0.06073908223797188,0.8869875222816399,0.06944351504361854
5.5,0,0.8446590238966399,0.08390737082163399,0.96875,0.06073908223797188,0.8928698752228164,0.05292480239304712
5.6000000000000005,0,0.8440908420784582,0.10351005031970158,0.96875,0.06073908223797188,0.8897504456327986,0.06794181555413419
5.7,0,0.8440908420784582,0.10351005031970158,0.96875,0.06073908223797188,0.8897504456327986,0.06794181555413419
5.800000000000001,0,0.8440908420784582,0.10351005031970158,0.96875,0.06073908223797188,0.8897504456327986,0.06794181555413419
5.9,0,0.85090902389664,0.09338377739005183,0.96875,0.06073908223797188,0.8958110516934046,0.056597431744981434
6,0,0.8378408420784582,0.09454919643262245,0.96875,0.06073908223797188,0.8868092691622104,0.06460838896528498
6.1000000000000005,0.037579617834394896,0.83586573385335,0.10964794308688741,0.9628676470588236,0.06022258828986547,0.8806595365418894,0.07107615738267328
6.2,0,0.8473489874418667,0.1028115224447192,0.9628676470588236,0.06022258828986547,0.8897504456327986,0.06794181555413419
6.300000000000001,0,0.8280025822131085,0.09294523190847989,0.9628676470588236,0.06022258828986547,0.8777183600713012,0.05767314110553616
6.4,0,0.8473489874418667,0.1028115224447192,0.9628676470588236,0.06022258828986547,0.8897504456327986,0.06794181555413419
6.5,0.03503184713375796,0.8306369756834153,0.10522555001675084,0.9628676470588236,0.06022258828986547,0.8776292335115865,0.06740970878438947
6.6000000000000005,0,0.8421202292719321,0.09875921899316463,0.9628676470588236,0.06022258828986547,0.8867201426024955,0.0645721087927138
6.7,0,0.8421202292719321,0.09875921899316463,0.9628676470588236,0.06022258828986547,0.8867201426024955,0.0645721087927138
6.800000000000001,0,0.8290541695146958,0.09978065179429763,0.9566176470588236,0.0591748089658736,0.8746880570409982,0.05840219536365171
6.9,0,0.8270898838004102,0.08781964108234708,0.9628676470588236,0.04348159414303403,0.877807486631016,0.05407900849431711
7,0,0.8417525822131084,0.09835551168088885,0.9566176470588236,0.0591748089658736,0.8837789661319073,0.06089256896926581
7.1000000000000005,0,0.8295303599908863,0.10031827009590089,0.9628676470588236,0.04348159414303403,0.8777183600713012,0.059415923918596944
7.2,0.03057324840764332,0.8278288524341155,0.09293007938225493,0.9566176470588236,0.0591748089658736,0.8746880570409982,0.05870517511187237
7.300000000000001,0,0.8109610959216222,0.10720395557136993,0.9628676470588236,0.04348159414303403,0.8629233511586453,0.06918629992129707
7.4,0,0.8236266803372067,0.09129015468210039,0.9628676470588236,0.04348159414303403,0.8748663101604278,0.0563344410911227
7.5,0.028662420382165606,0.8340788524341156,0.10271238988969009,0.9566176470588236,0.0591748089658736,0.8776292335115865,0.06298704287116046
7.6000000000000005,0,0.8358489025594289,0.09002383328679385,0.9566176470588236,0.0591748089658736,0.8808377896613191,0.058474465008568954
7.7,0.027388535031847138,0.8248418394471027,0.09682885925318928,0.9628676470588236,0.04348159414303403,0.874777183600713,0.06175905393955306
7.800000000000001,0.026751592356687896,0.8217267600820233,0.1042318199400967,0.9566176470588236,0.0591748089658736,0.8686274509803922,0.060918653737056835
7.9,0.026114649681528674,0.82016347687400315,0.09449255252889359,0.9628676470588236,0.04348159414303403,0.8717468805704099,0.058914161620293004
8,0,0.8127311460469355,0.09559328444145423,0.9628676470588236,0.04348159414303403,0.866042780748663,0.06619683185776838
8.100000000000001,0.024840764331210182,0.8012478924584188,0.09852486190821798,0.9628676470588236,0.04348159414303403,0.856951871657754,0.06586962631265023
8.2,0,0.8232428419533683,0.10367811684290411,0.9628676470588236,0.04348159414303403,0.8721033868092691,0.07014970533272052
8.3,0.008280254777070069,0.8407903370279531,0.10509222436218658,0.9691176470588235,0.043919763180679625,0.8868092691622104,0.07683975358444309
8.4,0.008917197452229303,0.8546927400944428,0.10878916843703725,0.9691176470588235,0.043919763180679625,0.8957219251336899,0.07989085716427723
8.5,0.009554140127388536,0.8408393566357962,0.10917661146116686,0.9691176470588235,0.043919763180679625,0.8866310160427807,0.08081332337682705
8.600000000000001,0.01019108280254778,0.8588083321047717,0.10687694514852038,0.9691176470588235,0.043919763180679625,0.8988413547237076,0.0769353188507342
8.7,0.010828025477707002,0.8486426237161531,0.08750761737546912,0.9628676470588236,0.04348159414303403,0.8927807486631016,0.06313819821950285
8.8,0.011464968152866246,0.8273641232722199,0.09948094689360437,0.9691176470588235,0.043919763180679625,0.8806595365418894,0.0777719106821093
8.9,0.01210191082802548,0.8092493622162824,0.082581591903045,0.9753676470588235,0.031817936063851186,0.8718360071301248,0.06058683418077858
9,0.012738853503184714,0.8325483572528936,0.06790663128362331,0.9753676470588235,0.031817936063851186,0.8899286987522281,0.052910541813992365
