precision,recall,accuracy
0.8974337916984976,0.9257352941176472,0.9079322638146168
0.8802060031471797,0.9375,0.9018716577540108
0.8647403168726698,0.9625,0.9047237076648842
0.8670579747050335,0.9569852941176472,0.9048128342245988
0.8599986597509818,0.96875,0.904723707664884
0.8573240811476106,0.975,0.9047237076648842
0.8788226805873864,0.9382352941176472,0.9018716577540108
0.8712223071046601,0.95625,0.9046345811051694
0.8588083321047717,0.9691176470588236,0.8988413547237076
0.8432509716319785,0.9753676470588236,0.8958110516934046
