precision,recall,accuracy
0.9444444444444444,1,0.9705882352941176
0.9444444444444444,1,0.9705882352941176
0.9444444444444444,1,0.9705882352941176
0.9444444444444444,1,0.9705882352941176
0.9444444444444444,1,0.9705882352941176
0.9444444444444444,1,0.9705882352941176
0.9444444444444444,1,0.9705882352941176
0.9444444444444444,1,0.9705882352941176
0.9444444444444444,1,0.9705882352941176
0.9444444444444444,1,0.9705882352941176
0.9444444444444444,1,0.9705882352941176
0.9444444444444444,1,0.9705882352941176
0.9444444444444444,1,0.9705882352941176
0.9447718868249054,0.9794117647058824,0.9603781512605042
0.946220330237358,0.9779411764705882,0.9603781512605042
0.9492699613958644,0.977124183006536,0.9616946778711484
0.949873151014792,0.9742647058823528,0.9605829831932772
0.9519896896380384,0.9738562091503268,0.9616946778711484
0.9529328452872377,0.9705882352941176,0.9605829831932772
0.9541454739790654,0.9663865546218487,0.9590336134453782
0.963656690746474,0.9647058823529412,0.9632352941176472
0.9662302201582388,0.961764705882353,0.9632352941176472
0.9709456699346404,0.9485294117647058,0.9595588235294118
0.9709456699346404,0.9485294117647058,0.9595588235294118
0.9711754493464052,0.9448529411764706,0.9577205882352942
0.9722222222222222,0.9411764705882352,0.9558823529411764
0.9722222222222222,0.9411764705882352,0.9558823529411764
