"","0","1","MeanDecreaseAccuracy","MeanDecreaseGini"
"cve",5.03897201928993,11.8661068483926,11.6744886093796,2.75827650941672
"population",4.32991620110735,5.86955419806853,6.91053368453096,1.22633041234427
"pct_hispanic",2.79460622931469,13.2110449012061,13.2001622561316,4.40434671042817
"pct_black",9.99496941600846,18.1715833130692,18.0672726137502,6.75145223417987
"pct_white",1.61806128380833,11.7167214668541,11.7567373745705,3.18884043589989
"pct_poverty",-0.567265962812268,4.88618003830437,4.17316705396946,0.701430865493329
"pct_uninsured",0.477291104825631,3.73893056085163,3.21008708862559,0.262337829476219
"pct_college",1.63141376013721,6.25908658299128,6.35107810874225,0.473491958421632
"pct_foreign_born",4.1415558893899,5.433799251842,6.59956822539684,0.722263613265152
"advised_to_change_eating_hab_no",1.30621990109318,2.05498620290176,2.13261383319671,0.118159929039566
"advised_to_change_eating_hab_yes",1.2296453800152,1.54240275165368,1.43578049803228,0.109990917932641
"advised_to_cut_down_salt_no",1.32500393437128,1.00100150250438,1.54121098547299,0.023946284935242
"advised_to_cut_down_salt_yes",1.64466988588741,1.75484952395498,1.83273458155772,0.109427496250304
"advised_to_exercise_no",0.924964402959551,1.87827214019496,1.41753173686457,0.0423852607392636
"advised_to_exercise_yes",1.46988439153747,1.00100150250438,1.5403807072092,0.0177556082251044
"advised_to_take_med_yes",1.00100150250438,1.29263754745949,1.44117017374736,0.0632021110811778
"all_teeth_removed_65_no",1.6570635584047,1.29487569224065,1.87520880244973,0.0171205511197276
"any_cancer_no",3.90913520043168,0.941341388332135,3.94049107272587,0.961691314561161
"any_cancer_yes",4.03177763006871,1.6516787888813,4.27909618966901,0.955316479999428
"any_drinking_past_month_no",1.64031962641237,1.41683908475087,1.59358430582008,0.0219306942902948
"any_drinking_past_month_yes",0,0,0,0.00571428571428571
"arthritis_no",2.00398095643186,0.806714324649053,1.39669029256873,0.0729760461760462
"arthritis_yes",1.94424802339921,1.41008891720638,2.70148159541485,0.0587458119798887
"asthma_status_never",1.93147093109372,-0.420300475081054,1.30209483459094,0.0538671511284415
"bmi_3_categories_obese",-1.00100150250438,1.00100150250438,1.00100150250438,0.011047619047619
"bmi_3_categories_overweight",2.68338403375264,2.2932910954138,3.35164005477399,0.135380234810507
"bmi_3_categories_recommended_range",1.87277204950238,1.20538342772289,1.9662716775608,0.554638659199849
"bmi_4_categories_obese",0,0,0,0
"bmi_4_categories_overweight",2.04706544345534,2.42786980044018,2.73899737278978,0.115181395551941
"bmi_4_categories_recommended_range",6.40146645084412,4.36909932556054,6.95481072656899,7.113696811323
"bmi_5_categories_obese",1.00100150250438,-1.00100150250438,0.472044995557429,0.00714285714285714
