mtry,cutoff,precision,precision_std,recall,recall_std,accuracy,accuracy_std
5,0.2,1,0,0.8988970588235294,0.07993447101158284,0.9501680672268907,0.039437249250617173
5,0.30000000000000004,0.9830065359477124,0.03788595227761946,0.9466911764705882,0.05156533063717954,0.9647058823529412,0.030376339970254258
5,0.4,0.9669246646026832,0.045986544736732096,0.9761029411764706,0.030869219896593143,0.9705882352941176,0.027729677693590107
5,0.5,0.9460423116615067,0.05458787522271687,0.9761029411764706,0.030869219896593143,0.9589915966386554,0.03151677532318746
10,0.2,1,0,0.9283088235294118,0.07416494140263606,0.9647058823529412,0.036155076303109365
10,0.30000000000000004,0.9830065359477124,0.03788595227761946,0.9466911764705882,0.05156533063717954,0.9647058823529412,0.030376339970254258
10,0.4,0.9771241830065359,0.03948707834508031,0.9643382352941177,0.041379126068613756,0.9705882352941176,0.03100272215851353
10,0.5,0.9519246646026832,0.05711611958906962,0.9761029411764706,0.030869219896593143,0.9619327731092437,0.03103826001450483
15,0.2,1,0,0.9224264705882352,0.0849477769442276,0.961764705882353,0.04170989683565226
15,0.30000000000000004,0.9830065359477124,0.03788595227761946,0.9466911764705882,0.05156533063717954,0.9647058823529412,0.030376339970254258
15,0.4,0.9835913312693498,0.036282986412836775,0.9643382352941177,0.04981131497152648,0.9735294117647059,0.025752795169732744
15,0.5,0.9563983488132095,0.04948841765244779,0.9761029411764706,0.030869219896593143,0.964873949579832,0.026869739686334583
20,0.2,1,0,0.9224264705882352,0.08029439446671141,0.961764705882353,0.03933804440733115
20,0.30000000000000004,0.9882352941176471,0.024802177726810825,0.9525735294117647,0.05415640706670331,0.9705882352941176,0.027729677693590107
20,0.4,0.9774509803921568,0.03916875671748241,0.9643382352941177,0.041379126068613756,0.970672268907563,0.02773095096588423
20,0.5,0.9519246646026832,0.05711611958906962,0.9761029411764706,0.030869219896593143,0.9619327731092437,0.03103826001450483
25,0.2,1,0,0.9341911764705882,0.06690884680846014,0.9676470588235294,0.03236779219454741
25,0.30000000000000004,0.9882352941176471,0.024802177726810825,0.9584558823529412,0.04859033856167161,0.9735294117647059,0.025752795169732744
25,0.4,0.9774509803921568,0.03916875671748241,0.9643382352941177,0.041379126068613756,0.970672268907563,0.02773095096588423
25,0.5,0.9563983488132095,0.04948841765244779,0.9702205882352941,0.04189850438091961,0.9619327731092437,0.02776940453953617
30,0.2,1,0,0.9224264705882352,0.07006653789645297,0.9618487394957983,0.034128178382248055
30,0.30000000000000004,0.9830065359477124,0.03788595227761946,0.9584558823529412,0.04859033856167161,0.9705882352941176,0.03100272215851353
30,0.4,0.9830065359477124,0.03788595227761946,0.9643382352941177,0.041379126068613756,0.9735294117647059,0.02924790958858098
30,0.5,0.9616271069831441,0.04402361817266558,0.9761029411764706,0.030869219896593143,0.9678151260504202,0.021479498627062932
35,0.2,1,0,0.9161764705882353,0.0914580303676149,0.9588235294117647,0.04428074427700478
35,0.30000000000000004,0.9882352941176471,0.024802177726810825,0.9584558823529412,0.04859033856167161,0.9735294117647059,0.025752795169732744
35,0.4,0.9830065359477124,0.03788595227761946,0.9643382352941177,0.041379126068613756,0.9735294117647059,0.02924790958858098
35,0.5,0.9563983488132095,0.04948841765244779,0.9702205882352941,0.04189850438091961,0.9619327731092437,0.02776940453953617
40,0.2,1,0,0.9341911764705882,0.06690884680846014,0.9676470588235294,0.03236779219454741
40,0.30000000000000004,0.9882352941176471,0.024802177726810825,0.9525735294117647,0.04651861349378422,0.9705882352941176,0.02401460532140371
40,0.4,0.9715686274509804,0.03981775781975528,0.9643382352941177,0.041379126068613756,0.9677310924369747,0.029258504252392306
40,0.5,0.9563983488132095,0.04948841765244779,0.9761029411764706,0.041495105277786805,0.964873949579832,0.0302360160579892
45,0.2,1,0,0.9161764705882353,0.0914580303676149,0.9588235294117647,0.04428074427700478
45,0.30000000000000004,0.9882352941176471,0.024802177726810825,0.9525735294117647,0.04651861349378422,0.9705882352941176,0.02401460532140371
45,0.4,0.9830065359477124,0.03788595227761946,0.9643382352941177,0.041379126068613756,0.9735294117647059,0.02924790958858098
45,0.5,0.9563983488132095,0.04948841765244779,0.9761029411764706,0.041495105277786805,0.964873949579832,0.0302360160579892
50,0.2,1,0,0.9161764705882353,0.0914580303676149,0.9588235294117647,0.04428074427700478
50,0.30000000000000004,0.9882352941176471,0.024802177726810825,0.9584558823529412,0.04859033856167161,0.9735294117647059,0.025752795169732744
50,0.4,0.9774509803921568,0.03916875671748241,0.9584558823529412,0.04859033856167161,0.9677310924369747,0.029258504252392306
50,0.5,0.9616271069831441,0.04402361817266558,0.9761029411764706,0.041495105277786805,0.9678151260504202,0.02556565308216466
