Variable,Importance
mammogram_no,47.38907257204634
mammogram_yes,47.38907257204634
flu_vaccine_location_doctors_office_hmo,46.99084507144091
any_cancer_no,44.99970756841374
any_cancer_yes,44.99970756841374
other_cancer_no,44.99970756841374
pct_black,15.019920323685707
ep_age65,8.872707137394716
cve,5.377323832371809
ep_disabl,5.062484679513858
ep_twomore,4.845135588285704
asthma_status_never,3.8761084706285702
bp_location_at_home,3.8761084706285702
ep_unemp,2.0334036058293337
ep_noint,1.504028369312524
ep_mobile,1.0167018029146668
ep_noveh,1.0167018029146668
pct_hispanic,1.0026855795416791
pct_poverty,1.0026855795416791
pct_white,1.0026855795416791
ep_nohsdp,0.5083509014573334
