FNloss,cp,precision,precision_std,recall,recall_std,accuracy,accuracy_std
1,0.00980392156862745,0.9189630940095337,0.0696717642130331,0.9235294117647058,0.09217771979249538,0.9193277310924369,0.05045594746686859
1.1,0,0.8933574131406948,0.06006780399048203,0.9411764705882353,0.07843137254901963,0.9136134453781513,0.04298748053932376
1.2,0,0.9221983881271807,0.0668057850387757,0.9117647058823529,0.0887782856680139,0.9164705882352941,0.05156983704611327
1.3,0,0.9060371517027863,0.06325398899536303,0.9176470588235294,0.06904634063395691,0.9107563025210084,0.04387810116862044
1.4,0.033962264150943396,0.930765639589169,0.05775875866163541,0.9058823529411765,0.08410827682167536,0.9193277310924369,0.0504559474668686
1.5,0.03773584905660378,0.9152685635657771,0.052955658913804264,0.9058823529411765,0.08410827682167536,0.910672268907563,0.039522707721174465
1.6,0,0.8934525038085409,0.07218236613926017,0.9117647058823529,0.0887782856680139,0.8991596638655462,0.04537642214086402
1.7000000000000002,0.010062893081761004,0.9023121529313479,0.072141024687164,0.9058823529411765,0.08410827682167536,0.902016806722689,0.04917414615857479
1.8,0.008805031446540884,0.901985355545727,0.06699945664251616,0.9117647058823529,0.0887782856680139,0.9049579831932772,0.05067853194351414
1.9,0.0075471698113207504,0.883343898963094,0.06839275485196862,0.9294117647058824,0.07744477512992745,0.902016806722689,0.04917414615857479
2,0.025157232704402517,0.8861904761904762,0.0886975138163187,0.9352941176470588,0.07568729045340701,0.9048739495798319,0.06571574237629403
2.1,0.005031446540880508,0.897702589807853,0.06976382768862771,0.9176470588235294,0.08856148855400955,0.9049579831932772,0.05254091126158149
2.2,0,0.885718462823726,0.06871191528275569,0.9470588235294117,0.07568729045340701,0.9107563025210084,0.045662215635504655
2.3,0.023270440251572325,0.8874644945697577,0.0816871851341603,0.9470588235294117,0.07568729045340701,0.9108403361344538,0.05480247374318898
2.4000000000000004,0,0.8921219715956559,0.0788921705157195,0.9529411764705882,0.07744477512992747,0.9165546218487395,0.05467289147090561
2.5,0.022012578616352203,0.8883124477861319,0.08455156904424292,0.9588235294117647,0.06231470032184591,0.9165546218487395,0.0578959139592134
2.6,0.02138364779874214,0.8791604010025063,0.07797348144285157,0.9647058823529412,0.056828928416429184,0.9136974789915966,0.05040779493372764
2.7,0.02075471698113208,0.8841896407685881,0.09105211007221121,0.9588235294117647,0.06231470032184591,0.9134453781512605,0.06560365220574169
2.8,0,0.9091896407685881,0.08417545191980098,0.9705882352941176,0.05716619504750295,0.9336974789915966,0.05586033980195449
2.9000000000000004,0.01949685534591195,0.9032080200501253,0.0769363432174995,0.9647058823529412,0.07440653318043247,0.9280672268907563,0.05255397658080967
