mtry,cutoff,precision,precision_std,recall,recall_std,accuracy,accuracy_std
5,0.2,1,0,0.9529411764705882,0.04640062574980092,0.9771428571428571,0.02253744679276045
5,0.30000000000000004,0.9944444444444445,0.01756820922315767,0.9823529411764705,0.028414464208214592,0.9885714285714285,0.014754222271266356
5,0.4,0.9894736842105263,0.0332871332649303,0.9882352941176471,0.024802177726810825,0.9885714285714285,0.019977311393717178
5,0.5,0.9730650154798761,0.045173663076089214,0.9882352941176471,0.024802177726810825,0.98,0.02710523708715755
10,0.2,1,0,0.9470588235294117,0.04340381102191894,0.9742857142857143,0.021081851067789203
10,0.30000000000000004,0.9941176470588236,0.018601633295108118,0.9764705882352941,0.030376339970254254,0.9857142857142858,0.020203050891044225
10,0.4,0.9944444444444445,0.01756820922315767,0.9882352941176471,0.024802177726810825,0.9914285714285714,0.01380131118684709
10,0.5,0.9839181286549707,0.03587088931691607,0.9882352941176471,0.024802177726810825,0.9857142857142858,0.02020305089104422
15,0.2,1,0,0.9411764705882353,0.03921568627450981,0.9713445378151261,0.019049472640078703
15,0.30000000000000004,0.9944444444444445,0.01756820922315767,0.9823529411764705,0.028414464208214592,0.9885714285714285,0.014754222271266356
15,0.4,0.9944444444444445,0.01756820922315767,0.9882352941176471,0.024802177726810825,0.9914285714285714,0.01380131118684709
15,0.5,0.9894736842105263,0.0332871332649303,0.9882352941176471,0.024802177726810825,0.9885714285714285,0.019977311393717178
20,0.2,1,0,0.9411764705882353,0.03921568627450981,0.9713445378151261,0.019049472640078703
20,0.30000000000000004,1,0,0.9823529411764705,0.028414464208214592,0.9914285714285714,0.01380131118684709
20,0.4,0.9944444444444445,0.01756820922315767,0.9882352941176471,0.024802177726810825,0.9914285714285714,0.01380131118684709
20,0.5,0.9894736842105263,0.0332871332649303,0.9882352941176471,0.024802177726810825,0.9885714285714285,0.019977311393717178
25,0.2,1,0,0.9470588235294117,0.03339095365867922,0.9742016806722689,0.016237078308204207
25,0.30000000000000004,1,0,0.9823529411764705,0.028414464208214592,0.9914285714285714,0.01380131118684709
25,0.4,0.9944444444444445,0.01756820922315767,0.9882352941176471,0.024802177726810825,0.9914285714285714,0.01380131118684709
25,0.5,0.9944444444444445,0.01756820922315767,0.9882352941176471,0.024802177726810825,0.9914285714285714,0.01380131118684709
30,0.2,1,0,0.9529411764705882,0.037203266590216236,0.9770588235294118,0.01810161103965206
30,0.30000000000000004,1,0,0.9823529411764705,0.028414464208214592,0.9914285714285714,0.01380131118684709
30,0.4,0.9944444444444445,0.01756820922315767,0.9882352941176471,0.024802177726810825,0.9914285714285714,0.01380131118684709
30,0.5,0.9888888888888889,0.02342427896421023,0.9882352941176471,0.024802177726810825,0.9885714285714285,0.014754222271266356
35,0.2,1,0,0.9411764705882353,0.03921568627450981,0.9713445378151261,0.019049472640078703
35,0.30000000000000004,1,0,0.9823529411764705,0.028414464208214592,0.9914285714285714,0.01380131118684709
35,0.4,0.9944444444444445,0.01756820922315767,0.9882352941176471,0.024802177726810825,0.9914285714285714,0.01380131118684709
35,0.5,0.9888888888888889,0.02342427896421023,0.9882352941176471,0.024802177726810825,0.9885714285714285,0.014754222271266356
40,0.2,1,0,0.9470588235294117,0.03339095365867922,0.9742016806722689,0.016237078308204207
40,0.30000000000000004,0.9944444444444445,0.01756820922315767,0.9823529411764705,0.028414464208214592,0.9885714285714285,0.014754222271266356
40,0.4,0.9944444444444445,0.01756820922315767,0.9882352941176471,0.024802177726810825,0.9914285714285714,0.01380131118684709
40,0.5,0.9944444444444445,0.01756820922315767,0.9882352941176471,0.024802177726810825,0.9914285714285714,0.01380131118684709
45,0.2,1,0,0.9470588235294117,0.03339095365867922,0.9742016806722689,0.016237078308204207
45,0.30000000000000004,0.9944444444444445,0.01756820922315767,0.9823529411764705,0.028414464208214592,0.9885714285714285,0.014754222271266356
45,0.4,0.9944444444444445,0.01756820922315767,0.9882352941176471,0.024802177726810825,0.9914285714285714,0.01380131118684709
45,0.5,0.988562091503268,0.02412552787619837,0.9882352941176471,0.024802177726810825,0.9885714285714285,0.019977311393717185
50,0.2,1,0,0.9470588235294117,0.03339095365867922,0.9742016806722689,0.016237078308204207
50,0.30000000000000004,0.9944444444444445,0.01756820922315767,0.9882352941176471,0.024802177726810825,0.9914285714285714,0.01380131118684709
50,0.4,0.9944444444444445,0.01756820922315767,0.9882352941176471,0.024802177726810825,0.9914285714285714,0.01380131118684709
50,0.5,0.9888888888888889,0.02342427896421023,0.9882352941176471,0.024802177726810825,0.9885714285714285,0.014754222271266356
