mtry,cutoff,precision,precision_std,recall,recall_std,accuracy,accuracy_std
5,0.2,1,0,0.8455882352941176,0.10587554444340772,0.9236974789915966,0.05231245240175805
5,0.30000000000000004,0.969436274509804,0.04257062021359015,0.8996323529411765,0.06796887256271901,0.9354621848739496,0.04343236390490687
5,0.4,0.9476307189542483,0.04243510157131849,0.9408088235294118,0.05547153994220974,0.9442857142857143,0.037975693962336014
5,0.5,0.9187512285616001,0.06368829326583508,0.9525735294117647,0.05415640706670331,0.9327731092436975,0.045772399487309524
10,0.2,1,0,0.8636029411764705,0.0968439702075029,0.9324369747899159,0.0482040194404136
10,0.30000000000000004,1,0,0.9231617647058823,0.062209774055862865,0.961764705882353,0.03115735016092296
10,0.4,0.9888888888888889,0.023424278964210232,0.9584558823529412,0.04859033856167161,0.9735294117647059,0.02170190551095947
10,0.5,0.9607155142758858,0.046093506161506516,0.9643382352941177,0.04981131497152648,0.9618487394957983,0.03683702371172433
15,0.2,1,0,0.8753676470588235,0.09458450514748501,0.9383193277310924,0.046980727515185255
15,0.30000000000000004,1,0,0.9349264705882353,0.06470889958800137,0.9676470588235294,0.03236779219454742
15,0.4,0.9894736842105263,0.03328713326493031,0.9584558823529412,0.04859033856167161,0.9735294117647059,0.025752795169732744
15,0.5,0.9724802201582388,0.038209941555702474,0.9702205882352941,0.04189850438091961,0.970672268907563,0.019609643774864478
20,0.2,1,0,0.8694852941176471,0.09182594032206964,0.9353781512605042,0.045637550937782705
20,0.30000000000000004,1,0,0.9408088235294118,0.06793351009289117,0.9705882352941176,0.033961780540566235
20,0.4,0.9894736842105263,0.03328713326493031,0.9643382352941177,0.04981131497152648,0.9764705882352941,0.02702754657272593
20,0.5,0.9675094599243206,0.04490847512366368,0.9702205882352941,0.04189850438091961,0.9678151260504202,0.021479498627062932
25,0.2,1,0,0.8636029411764705,0.0968439702075029,0.9324369747899159,0.0482040194404136
25,0.30000000000000004,1,0,0.9408088235294118,0.06793351009289117,0.9705882352941176,0.033961780540566235
25,0.4,0.9894736842105263,0.03328713326493031,0.9643382352941177,0.04981131497152648,0.9764705882352941,0.02702754657272593
25,0.5,0.9675094599243206,0.04490847512366368,0.9702205882352941,0.04189850438091961,0.9678151260504202,0.021479498627062932
30,0.2,1,0,0.8933823529411764,0.08694937144640569,0.9471428571428572,0.043455210759319254
30,0.30000000000000004,1,0,0.9290441176470589,0.09521120338842912,0.9647058823529412,0.04762728549604362
30,0.4,0.9839181286549707,0.03587088931691608,0.9643382352941177,0.04981131497152648,0.9736134453781513,0.02574350085424538
30,0.5,0.9675094599243206,0.04490847512366368,0.9702205882352941,0.04189850438091961,0.9678151260504202,0.021479498627062932
35,0.2,1,0,0.8875,0.08533143763212953,0.9442016806722688,0.04268047289749448
35,0.30000000000000004,1,0,0.9349264705882353,0.08058564860358954,0.9676470588235294,0.040303538806067594
35,0.4,0.9894736842105263,0.03328713326493031,0.9643382352941177,0.04981131497152648,0.9764705882352941,0.02702754657272593
35,0.5,0.9675094599243206,0.04490847512366368,0.9702205882352941,0.04189850438091961,0.9678151260504202,0.021479498627062932
40,0.2,1,0,0.8875,0.08972396153400941,0.9442016806722688,0.04487601277967282
40,0.30000000000000004,1,0,0.9408088235294118,0.06793351009289117,0.9705882352941176,0.033961780540566235
40,0.4,0.9839181286549707,0.03587088931691608,0.9643382352941177,0.04981131497152648,0.9736134453781513,0.02574350085424538
40,0.5,0.9612594599243206,0.04422825609134523,0.9702205882352941,0.04189850438091961,0.964873949579832,0.026869739686334583
45,0.2,1,0,0.89375,0.09092526140872671,0.9471428571428572,0.04561347496501941
45,0.30000000000000004,1,0,0.9408088235294118,0.07843998880368179,0.9705882352941176,0.03921568627450982
45,0.4,0.9888888888888889,0.02342427896421023,0.9643382352941177,0.04981131497152648,0.9765546218487395,0.0231781503871217
45,0.5,0.9616271069831441,0.04402361817266558,0.9761029411764706,0.030869219896593143,0.9678151260504202,0.021479498627062932
50,0.2,1,0,0.8875,0.08533143763212953,0.9442016806722688,0.04268047289749448
50,0.30000000000000004,1,0,0.9408088235294118,0.06793351009289117,0.9705882352941176,0.033961780540566235
50,0.4,0.9839181286549707,0.03587088931691608,0.9643382352941177,0.04981131497152648,0.9736134453781513,0.02574350085424538
50,0.5,0.9668150154798761,0.04535623252087947,0.9702205882352941,0.04189850438091961,0.9678151260504202,0.029083266215561013
