max_depth,eta,cutoff,precision,precision_std,recall,recall_std,accuracy,accuracy_std
3,0.01,0.2,0.9203457172342622,0.0422857329267396,0.9941176470588236,0.018601633295108114,0.9538655462184874,0.024214548140699062
5,0.01,0.2,0.9193997248022016,0.04851211929486964,0.9764705882352941,0.030376339970254254,0.9452941176470588,0.03140866768399836
7,0.01,0.2,0.9193997248022016,0.04851211929486964,0.9764705882352941,0.030376339970254254,0.9452941176470588,0.03140866768399836
9,0.01,0.2,0.9193997248022016,0.04851211929486964,0.9764705882352941,0.030376339970254254,0.9452941176470588,0.03140866768399836
3,0.05,0.2,0.9255744754041968,0.048804118114360424,0.9882352941176471,0.024802177726810825,0.9538655462184874,0.027708306288004008
5,0.05,0.2,0.930218438252494,0.047741638268640654,0.9823529411764705,0.028414464208214592,0.9538655462184874,0.027708306288004008
7,0.05,0.2,0.930218438252494,0.047741638268640654,0.9823529411764705,0.028414464208214592,0.9538655462184874,0.027708306288004008
9,0.05,0.2,0.930218438252494,0.047741638268640654,0.9823529411764705,0.028414464208214592,0.9538655462184874,0.027708306288004008
3,0.1,0.2,0.9255744754041968,0.048804118114360424,0.9882352941176471,0.024802177726810825,0.9538655462184874,0.027708306288004008
5,0.1,0.2,0.9308720330237358,0.0546163848279688,0.9823529411764705,0.028414464208214592,0.9539495798319327,0.030684225698588277
7,0.1,0.2,0.930218438252494,0.047741638268640654,0.9823529411764705,0.028414464208214592,0.9538655462184874,0.027708306288004008
9,0.1,0.2,0.930218438252494,0.047741638268640654,0.9823529411764705,0.028414464208214592,0.9538655462184874,0.027708306288004008
3,0.15000000000000002,0.2,0.9255744754041968,0.048804118114360424,0.9882352941176471,0.024802177726810825,0.9538655462184874,0.027708306288004008
5,0.15000000000000002,0.2,0.930218438252494,0.047741638268640654,0.9823529411764705,0.028414464208214592,0.9538655462184874,0.027708306288004008
7,0.15000000000000002,0.2,0.9361007911936704,0.05261679426356377,0.9823529411764705,0.028414464208214592,0.9568067226890756,0.02777265368708961
9,0.15000000000000002,0.2,0.9361007911936704,0.05261679426356377,0.9823529411764705,0.028414464208214592,0.9568067226890756,0.02777265368708961
3,0.2,0.2,0.9255744754041968,0.048804118114360424,0.9882352941176471,0.024802177726810825,0.9538655462184874,0.027708306288004008
5,0.2,0.2,0.930218438252494,0.047741638268640654,0.9823529411764705,0.028414464208214592,0.9538655462184874,0.027708306288004008
7,0.2,0.2,0.9346921224630202,0.04101108731725886,0.9823529411764705,0.028414464208214592,0.9567226890756302,0.024455722647327018
9,0.2,0.2,0.9346921224630202,0.04101108731725886,0.9823529411764705,0.028414464208214592,0.9567226890756302,0.024455722647327018
3,0.25,0.2,0.9305452356381149,0.04783607313332735,0.9882352941176471,0.024802177726810825,0.9568067226890756,0.027772653687089612
5,0.25,0.2,0.9375094599243206,0.06205429181682301,0.9882352941176471,0.024802177726810825,0.9597478991596639,0.03360515770846239
7,0.25,0.2,0.9361007911936704,0.05261679426356377,0.9823529411764705,0.028414464208214592,0.9568067226890756,0.02777265368708961
9,0.25,0.2,0.9361007911936704,0.05261679426356377,0.9823529411764705,0.028414464208214592,0.9568067226890756,0.02777265368708961
3,0.3,0.2,0.9305452356381149,0.04783607313332735,0.9882352941176471,0.024802177726810825,0.9568067226890756,0.027772653687089612
5,0.3,0.2,0.9297213622291022,0.04267632132680846,0.9823529411764705,0.028414464208214592,0.953781512605042,0.02437135768532909
7,0.3,0.2,0.9361007911936704,0.05261679426356377,0.9823529411764705,0.028414464208214592,0.9568067226890756,0.02777265368708961
9,0.3,0.2,0.9361007911936704,0.05261679426356377,0.9823529411764705,0.028414464208214592,0.9568067226890756,0.02777265368708961
3,0.35000000000000003,0.2,0.9305452356381149,0.04783607313332735,0.9882352941176471,0.024802177726810825,0.9568067226890756,0.027772653687089612
5,0.35000000000000003,0.2,0.9405744754041968,0.04596403773365163,0.9823529411764705,0.028414464208214592,0.9596638655462185,0.02414494334959099
7,0.35000000000000003,0.2,0.9346921224630202,0.04101108731725886,0.9823529411764705,0.028414464208214592,0.9567226890756302,0.024455722647327018
