Variable,Importance
mammogram_yes,66.84394463879093
flu_vaccine_location_doctors_office_hmo,66.2822308182969
any_cancer_yes,63.47366171582667
other_cancer_no,63.47366171582667
skin_cancer_no,63.47366171582667
general_health_fair,62.350234074838596
pct_black,22.290948918902604
ep_age65,13.321585771568156
cve,8.02976828678428
ep_disabl,7.737048636134147
ep_twomore,7.190628683516956
asthma_status_never,5.752502946813577
bp_location_at_home,5.752502946813577
ep_unemp,3.1164049432380114
ep_noint,2.2833399854676264
ep_mobile,1.5582024716190057
ep_noveh,1.5582024716190057
pct_hispanic,1.5222266569784124
pct_poverty,1.5222266569784124
pct_white,1.5222266569784124
ep_nohsdp,0.7791012358095029
