max_depth,eta,cutoff,precision,precision_std,recall,recall_std,accuracy,accuracy_std
3,0.01,0.5,0.8947368421052632,0,1,0,0.9411764705882352,0
3,0.01,0.5,0.9155975877192982,0.02234274089184611,0.9338235294117648,0.07331902675048382,0.9227941176470588,0.02188305321008368
3,0.01,0.5,0.9235111369109048,0.02134326632005934,0.9264705882352942,0.06207586506012782,0.9240196078431372,0.01966346833592711
3,0.01,0.5,0.9426333526831784,0.03878360798007827,0.9448529411764706,0.0625072083501768,0.9430147058823528,0.03792293223008126
3,0.01,0.5,0.931924332332614,0.05203115120577604,0.9558823529411764,0.05997328367743194,0.9411764705882352,0.04048512950656973
3,0.01,0.5,0.9257264172947224,0.04936433817443489,0.9632352941176472,0.05703812211806707,0.9411764705882352,0.03679666130418967
3,0.01,0.5,0.928400421173254,0.04604688479064652,0.9684873949579832,0.05424949094937928,0.9453781512605042,0.0355422340068614
3,0.01,0.5,0.9288525615090534,0.0436804555048716,0.9724264705882352,0.05172409783777165,0.9477415966386554,0.03406409586388937
3,0.01,0.5,0.930584992946319,0.04140801432702031,0.9754901960784312,0.04946575681600489,0.950280112044818,0.03287514512834492
3,0.01,0.5,0.9294855579791724,0.0401656270022783,0.9779411764705882,0.04744842494645893,0.9508403361344536,0.03154368933045498
5,0.01,0.5,0.8723684210526316,0.02582882783216748,1,0,0.9264705882352942,0.01698089027028311
5,0.01,0.5,0.904811661506708,0.03869922600340555,0.9411764705882352,0.07701807890682086,0.9191176470588236,0.0260707429537623
5,0.01,0.5,0.9160141468868248,0.03503951570393562,0.9264705882352942,0.06695178623288192,0.9191176470588236,0.02216995180718851
5,0.01,0.5,0.9370106101651188,0.0480737730561917,0.9448529411764706,0.06609472074777717,0.9393382352941176,0.04085130715686406
5,0.01,0.5,0.9373069008305076,0.0556814396781965,0.9558823529411764,0.06293669148686107,0.9441176470588236,0.04362469698291568
5,0.01,0.5,0.92948089689092,0.05368314495631004,0.9558823529411764,0.05818063000551063,0.9399509803921569,0.04112086734136543
5,0.01,0.5,0.9316185465414236,0.04983339834182252,0.96218487394958,0.05595233713007892,0.944327731092437,0.03949190768263216
5,0.01,0.5,0.9332217837793012,0.04670659542344271,0.9669117647058824,0.05374157757637346,0.9477153361344538,0.03796436583437834
5,0.01,0.5,0.9318452892853047,0.04624845536720601,0.9705882352941176,0.05166529797962823,0.9486227824463118,0.03684422696229125
5,0.01,0.5,0.9306198246842596,0.04468512843331573,0.973529411764706,0.04975318373720713,0.9493487394957985,0.03528898060315892
7,0.01,0.5,0.8723684210526316,0.02582882783216748,1,0,0.9264705882352942,0.01698089027028311
7,0.01,0.5,0.904811661506708,0.03869922600340555,0.9411764705882352,0.07701807890682086,0.9191176470588236,0.0260707429537623
7,0.01,0.5,0.9160141468868248,0.03503951570393562,0.9264705882352942,0.06695178623288192,0.9191176470588236,0.02216995180718851
7,0.01,0.5,0.9370106101651188,0.0480737730561917,0.9448529411764706,0.06609472074777717,0.9393382352941176,0.04085130715686406
7,0.01,0.5,0.9348215207135486,0.05645014328106867,0.9558823529411764,0.06293669148686107,0.9426470588235294,0.04317886631731703
7,0.01,0.5,0.9274097467934542,0.05403844480405355,0.9558823529411764,0.05818063000551063,0.9387254901960784,0.04060312068743236
7,0.01,0.5,0.92984327502931,0.05024327370227555,0.96218487394958,0.05595233713007892,0.9432773109243696,0.03915728611362649
7,0.01,0.5,0.9316684212062016,0.0471458329262824,0.9669117647058824,0.05374157757637346,0.9467962184873948,0.03774816365714852
7,0.01,0.5,0.9304645225536609,0.04660222262406614,0.9705882352941176,0.05166529797962823,0.9478057889822596,0.03666891807109225
7,0.01,0.5,0.9281344445673004,0.04523996403863022,0.973529411764706,0.04975318373720713,0.9478781512605042,0.03497691851842784
9,0.01,0.5,0.8723684210526316,0.02582882783216748,1,0,0.9264705882352942,0.01698089027028311
9,0.01,0.5,0.9131449948400412,0.05095542746727757,0.9411764705882352,0.07701807890682086,0.9227941176470588,0.02188305321008368
9,0.01,0.5,0.9215697024423803,0.04252137772722883,0.9264705882352942,0.06695178623288192,0.9215686274509804,0.01915702786114499
9,0.01,0.5,0.9411772768317852,0.05055866422745537,0.9448529411764706,0.06609472074777717,0.9411764705882352,0.03872238756496373
9,0.01,0.5,0.938154854046882,0.05829577582006579,0.9558823529411764,0.06293669148686107,0.9441176470588236,0.041484912880731827
9,0.01,0.5,0.930187524571232,0.05603283264427357,0.9558823529411764,0.05818063000551063,0.9399509803921569,0.03924897351102222
9,0.01,0.5,0.9322242274102625,0.05196490707077488,0.96218487394958,0.05595233713007892,0.944327731092437,0.03783457327518235
9,0.01,0.5,0.9337517545395352,0.04867010749501775,0.9669117647058824,0.05374157757637346,0.9477153361344538,0.03646468802560475
9,0.01,0.5,0.9323163744055126,0.04802241920808092,0.9705882352941176,0.05166529797962823,0.9486227824463118,0.03547723193552743
9,0.01,0.5,0.9298011112339672,0.04664267826803002,0.973529411764706,0.04975318373720713,0.9486134453781512,0.03385527638144271
3,0.05,0.5,0.9444444444444444,0,1,0,0.9705882352941176,0
3,0.05,0.5,0.9487847222222222,0.02097751037082391,0.9411764705882352,0.06288499809704104,0.9448529411764706,0.02914797673426809
3,0.05,0.5,0.945942265795207,0.01727962100132386,0.9362745098039216,0.05296097866932471,0.9411764705882352,0.02508243721830711
3,0.05,0.5,0.9594566993464052,0.02834449294367599,0.9522058823529412,0.05356387599861857,0.9558823529411764,0.03396178054056623
3,0.05,0.5,0.9520244238046096,0.03905794331717158,0.961764705882353,0.05147611646561299,0.9558823529411764,0.03373760792214144
3,0.05,0.5,0.9419891640866872,0.0422744176195916,0.9632352941176472,0.04848385833792552,0.9509803921568628,0.03321527662195765
3,0.05,0.5,0.9423399184235096,0.03902732929549166,0.9684873949579832,0.04662694760839912,0.953781512605042,0.03144249904852053
3,0.05,0.5,0.9426029841761264,0.0364293736792568,0.9724264705882352,0.04478464798031124,0.9559873949579832,0.02993702829174429
3,0.05,0.5,0.9428075908726063,0.03428957945408122,0.9754901960784312,0.04305441498302354,0.9576097105508872,0.0285562027394898
3,0.05,0.5,0.9428078775369796,0.03248779406000619,0.975,0.04188678438433535,0.957436974789916,0.02746409239683621
5,0.05,0.5,0.9320175438596492,0.02485380116959063,1,0,0.9632352941176472,0.01470588235294118
5,0.05,0.5,0.9434903895768834,0.0283336456551111,0.9485294117647058,0.06623480155644727,0.9448529411764706,0.02454479295283177
5,0.05,0.5,0.9417999656002752,0.02276018544630472,0.931372549019608,0.06057984124052203,0.9362745098039216,0.02455432676284476
5,0.05,0.5,0.9563499742002064,0.03251668132865493,0.9485294117647058,0.06027618097623294,0.9522058823529412,0.03541645464350676
5,0.05,0.5,0.9542612659098728,0.03383998763484246,0.9588235294117649,0.05757182175642271,0.9558823529411764,0.03373760792214144
5,0.05,0.5,0.9436095344570576,0.03923093575791715,0.9583333333333334,0.05340565404015005,0.9497549019607844,0.03412290137980355
5,0.05,0.5,0.9437288073123986,0.03620973643388969,0.9642857142857144,0.05147892422826082,0.9527310924369748,0.03235718502002219
5,0.05,0.5,0.9438182619539044,0.03379382832482694,0.96875,0.0495191184930398,0.9550682773109244,0.03084416890967363
5,0.05,0.5,0.9438878377861866,0.03180480734896094,0.9722222222222222,0.04765610685147781,0.9567927170868348,0.02944664369878725
5,0.05,0.5,0.9438617991056072,0.03013318972288543,0.973529411764706,0.04604873726315619,0.957436974789916,0.02826018413314207
7,0.05,0.5,0.9320175438596492,0.02485380116959063,1,0,0.9632352941176472,0.01470588235294118
