mtry,cutoff,precision,precision_std,recall,recall_std,accuracy,accuracy_std
5,0.2,0.99375,0.01976423537605237,0.888235294117647,0.09784294078333058,0.9412605042016806,0.05004599724989297
5,0.30000000000000004,0.9774509803921568,0.02912594112731632,0.9529411764705882,0.07231015260621874,0.964873949579832,0.03326334955031706
5,0.4,0.9678362573099416,0.04470699782136341,0.9588235294117649,0.07362738570791606,0.9618487394957984,0.03412817838224805
5,0.5,0.9611695906432748,0.04434704282068047,0.9588235294117649,0.07362738570791606,0.95890756302521,0.03973140288142921
10,0.2,0.9804166666666668,0.03155254778310205,0.8941176470588235,0.08225951750354131,0.9383193277310924,0.04898390056032372
10,0.30000000000000004,0.9774509803921568,0.02912594112731632,0.9529411764705882,0.07231015260621874,0.9647899159663864,0.03340845523703662
10,0.4,0.9678362573099416,0.04470699782136341,0.9588235294117649,0.07362738570791606,0.9618487394957984,0.03412817838224805
10,0.5,0.9490372377020984,0.03968259480300372,0.9647058823529412,0.06323339410430236,0.9559663865546218,0.03985906800268148
15,0.2,0.9815686274509804,0.02975400015861621,0.888235294117647,0.09383126363925803,0.9354621848739496,0.04765330782709058
15,0.30000000000000004,0.9715686274509804,0.03981775781975528,0.9411764705882352,0.06792356108113247,0.9560504201680672,0.03726237788556953
15,0.4,0.9678362573099416,0.04470699782136341,0.9588235294117649,0.07362738570791606,0.9618487394957984,0.03412817838224805
15,0.5,0.9490372377020984,0.03968259480300372,0.9647058823529412,0.06323339410430236,0.9559663865546218,0.03985906800268148
20,0.2,0.975735294117647,0.03134956265748918,0.888235294117647,0.09784294078333058,0.9325210084033612,0.04816632292932978
20,0.30000000000000004,0.977124183006536,0.0295526360920491,0.9470588235294116,0.07042464704340383,0.9618487394957984,0.03412817838224805
20,0.4,0.9678362573099416,0.04470699782136341,0.9588235294117649,0.07362738570791606,0.9618487394957984,0.03412817838224805
20,0.5,0.9490372377020984,0.03968259480300372,0.9647058823529412,0.06323339410430236,0.9559663865546218,0.03985906800268148
25,0.2,0.9812009803921568,0.03032576952351559,0.8705882352941177,0.09920871090724329,0.9266386554621848,0.05052595500575774
25,0.30000000000000004,0.9715686274509804,0.03981775781975528,0.9411764705882352,0.06792356108113247,0.9560504201680672,0.03726237788556953
25,0.4,0.9678362573099416,0.04470699782136341,0.9647058823529412,0.06323339410430236,0.9647899159663864,0.0303955773933887
25,0.5,0.9557039043687652,0.04226703608784282,0.9647058823529412,0.06323339410430236,0.95890756302521,0.03455599604166037
30,0.2,0.9745343137254902,0.03294833451705204,0.8705882352941177,0.09920871090724329,0.9236974789915966,0.05231245240175804
30,0.30000000000000004,0.9712418300653596,0.04007767246210692,0.9294117647058824,0.07744477512992745,0.9501680672268908,0.04167376301879774
30,0.4,0.9557039043687652,0.04226703608784282,0.9647058823529412,0.06323339410430236,0.95890756302521,0.03455599604166037
30,0.5,0.9557039043687652,0.04226703608784282,0.9647058823529412,0.06323339410430236,0.95890756302521,0.03455599604166037
35,0.2,0.9745343137254902,0.03294833451705204,0.8764705882352941,0.09383126363925803,0.9266386554621848,0.05052595500575774
35,0.30000000000000004,0.9709150326797386,0.04134987866114154,0.9411764705882352,0.06200544431702706,0.9560504201680672,0.03975825149493597
35,0.4,0.9557039043687652,0.04226703608784282,0.9647058823529412,0.06323339410430236,0.95890756302521,0.03455599604166037
35,0.5,0.9557039043687652,0.04226703608784282,0.9647058823529412,0.06323339410430236,0.95890756302521,0.03455599604166037
40,0.2,0.9740581232492996,0.03363717054381372,0.8647058823529412,0.10394006494665546,0.9207563025210084,0.05561765550570597
40,0.30000000000000004,0.9712418300653596,0.04110089778494972,0.9411764705882352,0.07336583111321456,0.9559663865546218,0.04220164757790842
40,0.4,0.9557039043687652,0.04226703608784282,0.9647058823529412,0.06323339410430236,0.95890756302521,0.03455599604166037
40,0.5,0.9557039043687652,0.04226703608784282,0.9647058823529412,0.06323339410430236,0.95890756302521,0.03455599604166037
45,0.2,0.9753186274509804,0.03193640931657602,0.8941176470588235,0.09920871090724329,0.9354621848739496,0.05152965417464633
45,0.30000000000000004,0.9712418300653596,0.04110089778494972,0.9411764705882352,0.07336583111321456,0.9559663865546218,0.04220164757790842
45,0.4,0.9557039043687652,0.04226703608784282,0.9647058823529412,0.06323339410430236,0.95890756302521,0.03455599604166037
45,0.5,0.9490372377020984,0.03968259480300372,0.9647058823529412,0.06323339410430236,0.9559663865546218,0.03985906800268148
50,0.2,0.975735294117647,0.03134956265748918,0.888235294117647,0.09784294078333058,0.9325210084033612,0.04816632292932978
50,0.30000000000000004,0.9712418300653596,0.04110089778494972,0.9352941176470588,0.08524339262464378,0.9530252100840336,0.046436883210185
50,0.4,0.9551191090471276,0.04323368647210099,0.9588235294117649,0.06231470032184591,0.9559663865546218,0.03736992836218433
50,0.5,0.9557039043687652,0.04226703608784282,0.9647058823529412,0.06323339410430236,0.95890756302521,0.03455599604166037
